"brain__DBA.2J"	"colon__DBA.2J"	"heart__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"skeletal.muscle__DBA.2J"	"spleen__DBA.2J"	"testis__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"skeletal.muscle__C57BL.6"	"spleen__C57BL.6"	"testis__C57BL.6"	"brain__CD1"	"colon__CD1"	"heart__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"skeletal.muscle__CD1"	"spleen__CD1"	"testis__CD1"	"metadata"
"ENSMUSG00000022132"	705	5	28	5148	1	424	22	13	29	336	60	3875	1	485	11	21	33	391	118	8	3906	0	280	11	5	19	"Cldn10 claudin 10"
"ENSMUSG00000022148"	48	356	106	71	106	403	63	2587	390	59	495	80	201	416	34	3433	449	52	553	191	42	217	373	40	2282	350	"Fyb FYN binding protein"
"ENSMUSG00000022150"	341	195	2437	15967	766	1541	1102	247	262	226	239	14352	486	1014	719	361	136	158	326	2921	11431	790	1419	715	315	170	"Dab2 disabled 2, mitogen-responsive phosphoprotein"
"ENSMUSG00000022177"	64	265	168	196	753	167	227	436	3247	47	347	253	600	148	167	410	3212	78	384	242	306	696	180	347	537	3310	"Haus4 HAUS augmin-like complex, subunit 4"
"ENSMUSG00000022181"	1	184	9	9	19593	1152	45	207	76	0	294	15	16012	781	1	684	37	0	167	47	8	24390	930	0	346	95	"C6 complement component 6"
"ENSMUSG00000022199"	7681	67	161	626	35	256	79	142	484	7180	165	527	39	229	133	177	280	9859	178	255	554	59	336	131	162	219	"Slc22a17 solute carrier family 22 (organic cation transporter), member 17"
"ENSMUSG00000022208"	4452	10	5	1	2	6	9	5	300	5079	23	1	1	0	25	17	323	7733	33	8	0	6	6	80	7	306	"Jph4 junctophilin 4"
"ENSMUSG00000022211"	917	26	25	29	6	15	9	77	53	1531	40	54	10	34	27	80	70	1639	62	55	70	15	49	26	86	49	"Carmil3 capping protein regulator and myosin 1 linker 3"
"ENSMUSG00000022215"	4	0	3462	345	1813	10	5610	4	156	1	3	303	854	10	2815	2	81	0	4	1724	268	264	19	4572	3	138	"Fitm1 fat storage-inducing transmembrane protein 1"
"ENSMUSG00000022218"	3	22	2	2736	651	82	3	698	131	6	22	1118	511	38	10	627	126	9	41	34	3581	878	87	0	816	110	"Tgm1 transglutaminase 1, K polypeptide"
"ENSMUSG00000022236"	9	6	7	91	379	34	8	11	18371	5	11	110	333	32	32	10	21898	18	17	21	155	261	24	36	8	24636	"Ropn1l ropporin 1-like"
"ENSMUSG00000022240"	5144	44	5	6	1	212	3	98	446	4608	26	7	7	161	15	140	336	5826	62	21	26	18	359	18	182	323	"Ctnnd2 catenin (cadherin associated protein), delta 2"
"ENSMUSG00000022244"	188	614	855	15715	8666	161	668	117	138	200	519	9668	7676	201	718	86	117	147	551	675	17667	7221	172	1098	91	93	"Amacr alpha-methylacyl-CoA racemase"
"ENSMUSG00000022246"	311	696	362	1171	1582	2204	220	1207	15730	403	607	1027	1339	2150	340	1243	16513	509	483	420	963	1205	1880	270	1035	18426	"Rai14 retinoic acid induced 14"
"ENSMUSG00000022262"	178	3	0	78	5	1237	1	0	118	221	8	26	12	1036	0	0	121	180	6	0	8	12	458	0	1	55	"Dnah5 dynein, axonemal, heavy chain 5"
"ENSMUSG00000022280"	1033	1302	1034	1170	1357	1612	900	896	16686	935	806	934	1069	1541	914	860	12009	956	735	938	1118	1019	1597	624	1269	12720	"Rnf19a ring finger protein 19A"
"ENSMUSG00000022311"	1287	4	0	0	0	0	0	61	298	795	0	0	1	0	2	75	64	647	2	0	0	0	0	0	84	47	"Csmd3 CUB and Sushi multiple domains 3"
"ENSMUSG00000022322"	22	386	39	29	29	27	16	174	2180	18	264	18	10	33	12	154	1329	17	289	68	56	32	21	15	402	1458	"Shcbp1 Shc SH2-domain binding protein 1"
"ENSMUSG00000022323"	997	411	260	14263	32335	252	442	480	57	525	211	15304	12965	266	340	170	35	384	213	161	12122	11819	147	226	242	28	"Rida reactive intermediate imine deaminase A homolog"
"ENSMUSG00000022330"	0	1	0	270	0	8	136	0	299	0	34	247	0	6	40	0	234	0	2	0	177	0	8	36	0	148	"Osr2 odd-skipped related 2"
"ENSMUSG00000022340"	1901	62	389	23	5	145	75	9	86	2046	63	33	3	108	72	16	50	2411	48	344	20	0	132	77	14	40	"Sybu syntabulin (syntaxin-interacting)"
"ENSMUSG00000022357"	6	3	419	2	1	39	805	1	2	12	0	2	2	41	566	2	0	9	8	306	0	3	39	285	0	0	"Klhl38 kelch-like 38"
"ENSMUSG00000022358"	835	396	3471	100	165	636	11115	534	71	630	274	146	160	424	16303	437	67	476	403	1885	97	144	517	5010	400	66	"Fbxo32 F-box protein 32"
"ENSMUSG00000022369"	68	233	168	159	78	182	59	265	1509	48	174	145	72	146	61	263	1452	31	246	102	119	41	146	120	314	1528	"Mtbp Mdm2, transformed 3T3 cell double minute p53 binding protein"
"ENSMUSG00000022372"	195	411	152	72	68	852	33	3031	18	230	613	60	82	991	30	3416	12	228	572	242	58	91	647	15	3037	15	"Sla src-like adaptor"
"ENSMUSG00000022375"	117	0	0	0	0	172	0	1	4343	107	3	0	0	141	2	2	3507	144	0	0	4	0	63	4	1	3196	"Lrrc6 leucine rich repeat containing 6 (testis)"
"ENSMUSG00000022382"	500	0	0	250	2	98	0	0	4	477	0	348	3	73	1	0	3	788	4	0	369	0	87	0	1	6	"Wnt7b wingless-type MMTV integration site family, member 7B"
"ENSMUSG00000022383"	60	947	297	1268	4325	88	147	4	212	45	282	786	6923	56	192	3	62	67	593	259	850	5841	67	617	7	322	"Ppara peroxisome proliferator activated receptor alpha"
"ENSMUSG00000022408"	7	254	5	37	27	39	7	26	36	8	391	39	54	23	12	29	58	5	386	4	46	26	19	15	21	85	"Fam83f family with sequence similarity 83, member F"
"ENSMUSG00000022415"	10237	85	1396	420	66	199	968	63	72	11292	97	528	14	182	1228	58	93	13922	244	1240	566	12	373	1076	238	113	"Syngr1 synaptogyrin 1"
"ENSMUSG00000022416"	1643	37	5	2	4	48	14	814	147	1762	48	3	10	127	26	1283	209	2086	81	4	2	9	66	7	1048	172	"Cacna1i calcium channel, voltage-dependent, alpha 1I subunit"
"ENSMUSG00000022421"	10093	20	37	31	12	65	47	64	371	18275	52	83	10	114	110	111	357	18946	56	98	52	15	139	80	97	594	"Nptxr neuronal pentraxin receptor"
"ENSMUSG00000022422"	5	59	7	7	4	11	5	84	248	4	26	3	2	16	2	49	227	6	31	21	8	3	13	4	155	180	"Dscc1 DNA replication and sister chromatid cohesion 1"
"ENSMUSG00000022439"	205	245	71	56	34	518	37	3258	770	136	304	53	48	438	35	3837	1846	266	547	161	60	24	393	55	3046	1623	"Parvg parvin, gamma"
"ENSMUSG00000022441"	143	0	0	1	0	137	774	0	13718	226	0	7	0	152	829	2	13887	294	2	0	34	0	75	266	0	13176	"Efcab6 EF-hand calcium binding domain 6"
"ENSMUSG00000022445"	3	9189	0	716	21596	1	0	3	446	3	11923	3028	42195	5	4	4	762	2	6729	0	1903	23838	1	0	3	392	"Cyp2d26 cytochrome P450, family 2, subfamily d, polypeptide 26"
"ENSMUSG00000022454"	9809	40	2	131	0	1	2	12	1102	11625	25	8	0	0	29	24	1096	13510	37	0	226	9	0	7	20	1127	"Nell2 NEL-like 2"
"ENSMUSG00000022456"	11223	18	7	15	15	150	13	34	1294	9763	15	20	1	46	72	81	1275	13045	35	17	28	6	88	33	68	1197	"Septin3 septin 3"
"ENSMUSG00000022464"	36	24	304	97	60473	466	14283	4	21	23	12	87	66712	236	9024	4	18	40	29	263	147	67245	228	4181	2	11	"Slc38a4 solute carrier family 38, member 4"
"ENSMUSG00000022479"	15	22855	12	8072	7	259	3	70	317	9	14496	7359	2	200	1	79	353	6	10987	4	6337	0	200	11	67	369	"Vdr vitamin D (1,25-dihydroxyvitamin D3) receptor"
"ENSMUSG00000022485"	8	14	0	54	0	7	143	1	16	0	40	90	0	0	112	0	35	0	45	0	42	0	2	182	0	11	"Hoxc5 homeobox C5"
"ENSMUSG00000022489"	3158	231	97	66	16	302	56	1026	302	4976	256	98	71	203	76	1192	246	3199	347	140	58	59	207	66	701	252	"Pde1b phosphodiesterase 1B, Ca2+-calmodulin dependent"
"ENSMUSG00000022504"	32	577	41	95	32	583	45	5472	8	65	1607	186	103	807	70	6568	16	43	1675	191	97	73	938	58	7841	13	"Ciita class II transactivator"
"ENSMUSG00000022505"	583	233	2027	382	439	31706	442	656	91	408	256	458	345	28099	320	459	54	408	250	1995	310	294	34005	441	420	79	"Emp2 epithelial membrane protein 2"
"ENSMUSG00000022510"	48	0	44	21	0	39	442	14	113	23	0	43	1	18	258	8	93	18	0	38	32	0	21	277	15	59	"Trp63 transformation related protein 63"
"ENSMUSG00000022512"	99	17	7	371	3655	235	76	12	1	78	14	319	2073	186	141	13	2	86	29	4	582	1369	257	142	21	6	"Cldn1 claudin 1"
"ENSMUSG00000022514"	1530	184	357	281	8582	619	135	174	164	1093	109	200	5541	385	137	139	125	1057	89	242	240	7189	421	109	180	159	"Il1rap interleukin 1 receptor accessory protein"
"ENSMUSG00000022519"	188	121	21859	89	62	170	113282	50	363	224	72	95	60	251	125287	33	237	242	62	18214	83	79	332	69833	69	316	"Srl sarcalumenin"
"ENSMUSG00000022523"	4779	9	28	11	6	21	2	2	245	3606	6	31	9	29	22	3	268	4126	14	0	34	18	49	0	4	193	"Fgf12 fibroblast growth factor 12"
"ENSMUSG00000022525"	616	8	746	22	0	7	4090	0	2872	483	6	43	0	0	3008	0	3166	570	6	722	52	0	8	2091	0	3136	"Plaat1 phospholipase A and acyltransferase 1"
"ENSMUSG00000022534"	1	42	2	5	2	54	0	214	0	0	119	3	7	82	2	411	1	0	74	13	2	3	31	0	331	0	"Mefv Mediterranean fever"
"ENSMUSG00000022543"	119	16	28	86	38	74	115	73	8045	94	22	44	20	18	31	43	2231	113	14	21	44	29	32	47	32	2239	"4930451G09Rik RIKEN cDNA 4930451G09 gene"
"ENSMUSG00000022546"	231	5063	686	386	10009	705	818	100	75	249	10420	596	20173	736	567	76	71	277	6479	569	1946	10406	683	1226	77	115	"Gpt glutamic pyruvic transaminase, soluble"
"ENSMUSG00000022548"	3777	7	855	6	1	228	1275	12	14	2436	20	15	0	75	1885	18	11	1411	54	1278	14	3	168	1241	17	23	"Apod apolipoprotein D"
"ENSMUSG00000022555"	490	18615	650	625	981	473	864	447	2578	617	24738	767	1081	465	413	469	2190	561	15694	543	687	993	441	1525	413	2971	"Dgat1 diacylglycerol O-acyltransferase 1"
"ENSMUSG00000022575"	37	8753	661	104	1267	896	158	1453	93	52	10704	155	1537	1093	202	1693	221	64	7627	696	151	1866	972	252	1367	295	"Gsdmd gasdermin D"
"ENSMUSG00000022579"	0	25	4015	235	571	2863	702	212	4	0	62	277	640	1836	728	240	2	2	43	6216	387	405	2583	1609	220	8	"Gpihbp1 GPI-anchored HDL-binding protein 1"
"ENSMUSG00000022580"	119	6	2	650	4	44	2	10	787	226	5	400	0	24	2	12	597	226	17	4	822	3	35	4	12	507	"Rhpn1 rhophilin, Rho GTPase binding protein 1"
"ENSMUSG00000022584"	1	119	12	13	11	183	9	379	0	1	119	13	9	375	4	631	1	0	33	30	4	6	75	0	381	0	"Ly6c2 lymphocyte antigen 6 complex, locus C2"
"ENSMUSG00000022602"	2834	10	41	77	2	35	176	25	6844	2234	23	60	4	9	106	44	6944	1592	17	42	95	0	15	66	28	6864	"Arc activity regulated cytoskeletal-associated protein"
"ENSMUSG00000022610"	210	98	1423	258	181	1061	7220	287	56	193	149	320	184	953	7116	317	51	240	254	1860	338	197	1349	5729	294	51	"Mapk12 mitogen-activated protein kinase 12"
"ENSMUSG00000022619"	7707	36	2	8	0	2	3	1	3462	6620	37	5	0	0	34	2	3987	7672	54	4	14	0	4	11	1	3656	"Mapk8ip2 mitogen-activated protein kinase 8 interacting protein 2"
"ENSMUSG00000022641"	904	428	703	1969	633	935	443	1155	9672	901	311	1111	468	879	516	1031	7738	752	372	505	1055	491	695	409	757	7872	"Bbx bobby sox HMG box containing"
"ENSMUSG00000022651"	1	42	9	5	6	255	3	115	1	2	54	3	3	385	4	144	0	0	29	17	0	0	154	0	113	0	"Retnlg resistin like gamma"
"ENSMUSG00000022659"	1	75	0	4	6	35	3	240	38	0	60	5	2	34	11	220	30	0	122	8	4	3	18	0	224	34	"Gcsam germinal center associated, signaling and motility"
"ENSMUSG00000022665"	248	190	6069	255	637	1067	4652	673	487	206	227	292	424	545	1686	952	78	235	316	6445	220	370	684	2412	431	199	"Ccdc80 coiled-coil domain containing 80"
"ENSMUSG00000022679"	1519	88	69	39633	1680	345	49	34	75	1599	55	17232	1212	373	40	23	69	1653	103	64	27547	1863	223	88	21	34	"Mpv17l Mpv17 transgene, kidney disease mutant-like"
"ENSMUSG00000022686"	32	91	25	7	10	165	1	1157	4	23	49	7	9	304	0	1579	1	29	118	4	2	3	130	18	1495	9	"B3gnt5 UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
"ENSMUSG00000022696"	1270	148	37	13	5	263	5	1167	10	1501	166	10	9	233	12	1288	12	2272	114	59	12	12	147	4	705	15	"Sidt1 SID1 transmembrane family, member 1"
"ENSMUSG00000022723"	282	312	1827	650	676	1561	2164	321	9326	207	177	422	395	1258	2214	415	6713	112	217	815	459	214	1168	1047	389	5506	"Crybg3 beta-gamma crystallin domain containing 3"
"ENSMUSG00000022751"	222	492	742	1853	7820	243	663	266	213	145	693	2244	5069	286	703	207	183	132	601	679	1777	4410	243	536	214	151	"Nit2 nitrilase family, member 2"
"ENSMUSG00000022758"	122	37	97	22	2	341	956	13	59	110	71	23	3	212	969	8	38	136	101	106	8	12	244	657	9	38	"P2rx6 purinergic receptor P2X, ligand-gated ion channel, 6"
"ENSMUSG00000022763"	1948	59	12	881	341	67	3	1	198	3524	71	727	403	33	21	9	193	3581	70	0	1325	614	68	4	6	197	"Aifm3 apoptosis-inducing factor, mitochondrion-associated 3"
"ENSMUSG00000022766"	179	3	51	27	29178	41	7	9	12	81	11	22	29030	75	7	10	11	78	19	34	28	25413	28	15	6	8	"Serpind1 serine (or cysteine) peptidase inhibitor, clade D, member 1"
"ENSMUSG00000022768"	63	492	5	12	2	23	9	48	6399	57	456	7	2	6	12	48	5083	83	425	25	26	21	15	22	33	6688	"Ccdc116 coiled-coil domain containing 116"
"ENSMUSG00000022773"	379	32	35	50	26	71	23	54	7251	561	45	56	31	91	29	70	6633	654	58	76	71	32	67	33	49	9499	"Ypel1 yippee like 1"
"ENSMUSG00000022783"	114	1	0	22	0	438	1	0	9706	132	0	19	0	329	6	0	8920	99	0	0	38	0	225	15	1	11154	"Spag6l sperm associated antigen 6-like"
"ENSMUSG00000022803"	8	56	6965	1	1	284	3064	55	27	5	100	7	5	232	2611	47	23	9	136	7260	4	9	384	1788	138	26	"Popdc2 popeye domain containing 2"
"ENSMUSG00000022805"	29	8	0	9	0	256	1	2	2722	69	12	3	0	279	4	2	2466	47	8	4	14	3	158	0	1	2508	"Cfap91 cilia and flagella associated protein 91"
"ENSMUSG00000022809"	3	2491	0	72	2634	27	1	2	12	1	3022	110	2956	32	4	2	18	6	2945	0	167	3681	17	0	0	9	"Nr1i2 nuclear receptor subfamily 1, group I, member 2"
"ENSMUSG00000022829"	1449	9	0	171	2	0	1	0	219	818	3	79	3	0	4	0	94	540	2	0	62	3	0	0	0	165	"Stxbp5l syntaxin binding protein 5-like"
"ENSMUSG00000022831"	49	462	382	141	120	741	149	4947	26	77	1154	188	314	826	135	6049	21	70	1256	556	211	200	773	164	4682	26	"Hcls1 hematopoietic cell specific Lyn substrate 1"
"ENSMUSG00000022840"	2703	354	1092	122	61	379	493	321	251	4255	296	220	93	361	130	317	259	2915	469	1269	129	26	400	361	301	199	"Adcy5 adenylate cyclase 5"
"ENSMUSG00000022844"	47	394	223	415	3055	307	122	161	763	72	378	448	3219	316	56	271	568	93	452	263	534	3990	421	131	208	609	"Pdia5 protein disulfide isomerase associated 5"
"ENSMUSG00000022853"	76	5682	316	26367	9569	210	512	146	69	66	2706	20763	10186	193	390	154	40	60	2734	187	24028	9154	219	1054	176	30	"Ehhadh enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase"
"ENSMUSG00000022856"	245	1685	389	270	285	245	138	131	138	209	2905	328	167	281	116	66	114	147	1786	280	316	273	220	120	125	142	"Tmem41a transmembrane protein 41a"
"ENSMUSG00000022861"	1585	58	16	198	1	99	15	57	27	1846	57	218	4	86	16	43	14	2691	66	4	129	3	77	7	73	28	"Dgkg diacylglycerol kinase, gamma"
"ENSMUSG00000022871"	4	3	28	8	19644	109	5	0	41	2	32	21	20637	70	4	1	45	0	25	51	16	17748	82	4	1	28	"Fetub fetuin beta"
"ENSMUSG00000022876"	19	86	28	13	12	228	6	836	15	23	99	17	8	272	6	773	11	20	165	34	12	21	114	4	726	13	"Samsn1 SAM domain, SH3 domain and nuclear localization signals, 1"
"ENSMUSG00000022878"	1	1	164	22	1	228	5020	29	440	0	45	395	1	54	1613	13	375	0	8	0	218	3	33	3247	7	320	"Adipoq adiponectin, C1Q and collagen domain containing"
"ENSMUSG00000022887"	340	20	440	80	10519	72	93	17	66	231	14	67	10384	53	59	14	49	225	14	255	89	13714	308	168	40	131	"Masp1 mannan-binding lectin serine peptidase 1"
"ENSMUSG00000022900"	3	44	0	418	5	408	0	49	4	12	79	455	5	367	4	74	0	21	68	0	508	6	357	0	41	0	"Ildr1 immunoglobulin-like domain containing receptor 1"
"ENSMUSG00000022901"	23	94	198	18	33	158	47	1038	15	35	109	35	71	122	37	983	8	29	124	234	26	56	71	33	1150	26	"Cd86 CD86 antigen"
"ENSMUSG00000022941"	1	21	189	82	48	637	26	34	0	1	43	80	45	1147	17	30	1	0	39	229	111	26	732	51	30	0	"Ripply3 ripply transcriptional repressor 3"
"ENSMUSG00000022949"	18	599	0	6	9	1193	19	1	128	446	761	8	4	952	17	0	137	142	527	0	8	3	625	7	0	87	"Clic6 chloride intracellular channel 6"
"ENSMUSG00000022972"	189	101	177	216	280	163	351	79	1981	217	102	152	193	224	387	98	2781	280	182	153	483	232	250	547	122	2918	"Cfap298 cilia and flagella associate protien 298"
"ENSMUSG00000022973"	11705	920	636	910	416	1141	595	869	1345	8451	774	754	562	1126	350	1172	977	11765	479	832	600	705	1082	358	1360	902	"Synj1 synaptojanin 1"
"ENSMUSG00000023000"	1	7	25	10	1	38	26	25	280	0	3	13	4	49	7	29	382	0	6	4	18	6	45	36	34	333	"Dhh desert hedgehog"
"ENSMUSG00000023011"	13938	29	2	3	2	465	0	2	24	11336	37	8	0	284	62	2	15	11658	41	0	12	3	781	18	0	32	"Faim2 Fas apoptotic inhibitory molecule 2"
"ENSMUSG00000023017"	1508	174	25	90	73	54	52	165	109	1582	185	136	63	77	59	134	87	1502	155	42	91	21	86	106	122	96	"Asic1 acid-sensing (proton-gated) ion channel 1"
"ENSMUSG00000023031"	36	588	23	1058	1947	28	5	176	8	48	383890	1650	1801	24	2	289	32	35	356281	4	1762	1801	17	15	1327	8	"Cela1 chymotrypsin-like elastase family, member 1"
"ENSMUSG00000023033"	10188	13	9	17	9	10	2	26	283	8785	29	13	29	5	32	45	323	11163	27	21	10	15	21	4	76	193	"Scn8a sodium channel, voltage-gated, type VIII, alpha"
"ENSMUSG00000023034"	1620	103	465	357	50	1289	7456	714	1254	1681	105	128	85	1052	6268	967	1207	1070	153	166	62	44	769	6028	649	813	"Nr4a1 nuclear receptor subfamily 4, group A, member 1"
"ENSMUSG00000023036"	438	20	30	12	1	99	17	16	13	251	40	29	6	139	42	18	11	398	60	51	12	6	141	36	21	34	"Pcdhgc4 protocadherin gamma subfamily C, 4"
"ENSMUSG00000023039"	1	982	35	1522	24	6014	5	63	8	2	1120	1596	38	4599	4	47	0	14	1278	42	2268	35	7532	4	39	21	"Krt7 keratin 7"
"ENSMUSG00000023043"	5	2984	51	269	6256	1502	8	10	29	68	6087	582	9162	1874	2	3	18	12	4748	55	518	4815	1647	4	8	25	"Krt18 keratin 18"
"ENSMUSG00000023044"	387	399	359	8422	22320	915	637	530	334	522	504	8839	8907	893	359	589	379	492	502	450	9817	12465	1249	1164	519	286	"Csad cysteine sulfinic acid decarboxylase"
"ENSMUSG00000023045"	1	3491	5	4	1522	19	5	48	5	6	6918	8	1698	16	10	79	9	8	3100	17	8	1434	26	0	91	4	"Soat2 sterol O-acyltransferase 2"
"ENSMUSG00000023047"	21	2	7	3	27	54	234	5	4945	17	2	3	13	63	113	14	6118	23	4	8	4	15	32	29	6	3879	"Amhr2 anti-Mullerian hormone type 2 receptor"
"ENSMUSG00000023050"	2259	146	269	145	97	252	124	154	334	2787	133	209	61	343	206	203	444	3006	151	310	214	94	349	215	163	289	"Map3k12 mitogen-activated protein kinase kinase kinase 12"
"ENSMUSG00000023067"	156	2962	332	258	33	567	205	195	282	193	4472	102	56	665	325	180	290	191	3358	526	165	32	590	693	140	291	"Cdkn1a cyclin-dependent kinase inhibitor 1A (P21)"
"ENSMUSG00000023070"	9	378	28	101	57464	14	3	0	6	3	180	123	34272	19	1	0	9	5	318	0	89	37188	9	0	1	17	"Rgn regucalcin"
"ENSMUSG00000023072"	296	356	274	622	246	293	333	331	4083	564	516	754	457	441	390	626	4348	333	413	318	775	197	278	226	353	5111	"Cep89 centrosomal protein 89"
"ENSMUSG00000023073"	0	38	0	1220	384	0	0	0	36	0	5	1060	278	0	2	0	30	0	27	0	1343	817	0	0	0	55	"Slc10a2 solute carrier family 10, member 2"
"ENSMUSG00000023074"	230	232	484	226	383	190	2390	153	48	192	251	374	235	324	3105	160	48	110	128	514	171	182	160	992	185	47	"Mospd1 motile sperm domain containing 1"
"ENSMUSG00000023078"	3	222	12	2	21	107	40	4767	3	1	253	12	28	27	7	2171	2	0	845	4	8	35	29	7	2567	2	"Cxcl13 chemokine (C-X-C motif) ligand 13"
"ENSMUSG00000023084"	19	14	18	12	9	467	8	18	4154	36	6	12	7	465	19	16	4843	32	6	21	26	3	287	4	12	4955	"Lrrc71 leucine rich repeat containing 71"
"ENSMUSG00000023122"	0	211	0	2553	297	8	1	0	3	4	69	1785	185	3	0	0	0	0	229	0	4171	300	1	0	0	0	"Sult1c2 sulfotransferase family, cytosolic, 1C, member 2"
"ENSMUSG00000023132"	0	3322	18	18	32	523	13	334	1	0	6085	11	16	941	5	475	1	0	2294	42	6	6	393	7	298	4	"Gzma granzyme A"
"ENSMUSG00000023153"	7	6	30	35	6	13	1644	5	273	5	5	22	2	5	1293	1	236	20	6	30	40	3	16	1956	1	221	"Tmem52 transmembrane protein 52"
"ENSMUSG00000023176"	0	87	108	9	16056	19	14	0	1	0	20	20	20952	8	0	0	1	0	8	68	32	20900	19	237	0	0	"Cpn2 carboxypeptidase N, polypeptide 2"
"ENSMUSG00000023224"	168	1306	7712	1066	42051	10917	3762	2860	653	99	1988	2198	32342	4561	2723	2336	379	112	2743	15667	1094	41788	8951	2872	2730	687	"Serping1 serine (or cysteine) peptidase inhibitor, clade G, member 1"
"ENSMUSG00000023235"	237	11996	81	189	218	121	248	122	322	282	18159	200	260	72	201	206	369	219	12106	68	163	344	74	84	130	287	"Ccl25 chemokine (C-C motif) ligand 25"
"ENSMUSG00000023236"	11052	123	2	188	1	35	0	64	36	4202	66	118	1	13	24	18	24	9791	252	4	54	6	20	0	82	28	"Scg5 secretogranin V"
"ENSMUSG00000023259"	140	18102	371	346	175	121	840	161	139	196	14313	310	156	95	791	199	146	199	9579	352	435	126	167	679	149	151	"Slc26a6 solute carrier family 26, member 6"
"ENSMUSG00000023262"	204	5256	369	8012	1778	147	172	238	86	188	3094	2980	1640	112	202	195	72	214	4087	374	8381	1763	219	161	230	57	"Acy1 aminoacylase 1"
"ENSMUSG00000023274"	1	284	37	22	87	223	13	2405	24	58	453	19	121	125	11	1937	25	15	597	17	26	132	187	7	2073	26	"Cd4 CD4 antigen"
"ENSMUSG00000023336"	82	131	417	30	175	657	2810	42	247	40	219	40	117	487	1857	23	192	46	227	365	38	68	446	2251	23	320	"Wfdc1 WAP four-disulfide core domain 1"
"ENSMUSG00000023349"	0	103	180	2	33	427	20	788	15	2	311	4	56	310	10	766	5	0	186	174	6	18	209	15	979	30	"Clec4n C-type lectin domain family 4, member n"
"ENSMUSG00000023473"	1771	603	74	5	6	31	70	15	97	4388	334	8	5	22	75	20	132	4253	242	42	4	3	22	171	20	72	"Celsr3 cadherin, EGF LAG seven-pass G-type receptor 3"
"ENSMUSG00000023484"	70	86	12	3	5	5	5	30	19	34	151	2	7	3	1	24	11	76	285	25	10	3	27	66	21	49	"Prph peripherin"
"ENSMUSG00000023505"	16	1013	51	66	71	65	36	773	5499	10	1204	53	93	79	44	648	6563	18	933	132	89	56	47	26	879	7405	"Cdca3 cell division cycle associated 3"
"ENSMUSG00000023806"	14	12	48	77	6	57	34	8	103	24	48	34	76	32	84	18	340	54	41	59	167	47	23	88	9	700	"Rsph3b radial spoke 3B homolog (Chlamydomonas)"
"ENSMUSG00000023809"	729	33	258	68	46	403	5481	71	582	1507	48	96	53	483	7276	158	1020	896	43	433	64	35	498	1573	90	533	"Rps6ka2 ribosomal protein S6 kinase, polypeptide 2"
"ENSMUSG00000023829"	7	1494	200	10215	16590	35	1	1	1	3	2330	9579	16835	28	1	0	0	9	1941	98	10623	15136	16	7	0	0	"Slc22a1 solute carrier family 22 (organic cation transporter), member 1"
"ENSMUSG00000023868"	1740	40	198	57	26	25	161	154	2189	3389	35	46	26	23	175	117	2008	1794	27	174	42	47	25	142	162	1929	"Pde10a phosphodiesterase 10A"
"ENSMUSG00000023873"	32	8	5	17	5	27	7	56	14278	32	34	38	11	47	24	53	14702	6	19	4	60	21	25	29	38	18146	"1700010I14Rik RIKEN cDNA 1700010I14 gene"
"ENSMUSG00000023908"	48	212	35	17	9	56	14	314	1198	103	290	21	31	66	14	460	1190	47	293	38	50	3	123	26	470	908	"Pkmyt1 protein kinase, membrane associated tyrosine/threonine 1"
"ENSMUSG00000023935"	60	7	21	19	4	8	2	10	585	76	6	19	10	3	12	11	552	89	6	38	34	9	10	22	15	800	"Spats1 spermatogenesis associated, serine-rich 1"
"ENSMUSG00000023940"	2	231	14	7	10	16	2	185	92	5	191	11	5	11	4	219	103	2	190	21	6	0	16	0	584	79	"Sgo1 shugoshin 1"
"ENSMUSG00000023947"	52	309	81	161	160	188	54	1806	36	34	274	105	104	148	39	2029	84	57	376	157	161	97	187	69	1433	117	"Nfkbie nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon"
"ENSMUSG00000023949"	34	1	0	0	0	152	0	9	7217	43	0	0	0	99	1	6	6917	61	0	0	22	0	193	4	4	6419	"Tcte1 t-complex-associated testis expressed 1"
"ENSMUSG00000023966"	168	14	44	103	133	222	22	18	1956	320	34	244	24	332	17	15	2272	318	33	76	344	29	199	26	15	2633	"Rsph9 radial spoke head 9 homolog (Chlamydomonas)"
"ENSMUSG00000023992"	77	3	62	6	1	44	14	7	15	208	6	4	10	44	5	6	17	217	14	365	6	15	73	15	11	25	"Trem2 triggering receptor expressed on myeloid cells 2"
"ENSMUSG00000023999"	52	4	64	7	0	136	1	2	571	69	14	11	0	112	1	2	592	23	4	51	12	0	76	0	0	601	"Kif6 kinesin family member 6"
"ENSMUSG00000024008"	1008	18	2	6	0	130	2	78	274	1527	23	6	0	120	6	73	665	1020	76	8	32	0	109	22	51	486	"Cpne5 copine V"
"ENSMUSG00000024011"	26	5	1684	133	15	443	1641	88	413	12	57	166	6	337	865	94	193	28	70	5069	139	9	706	1080	160	263	"Pi16 peptidase inhibitor 16"
