"cerebellum__Normal"	"frontal__Normal"	"hippocampus__Normal"	"cerebellum__Progranulin"	"frontal__Progranulin"	"hippocampus__Progranulin"	"cerebellum__Sporadic"	"frontal__Sporadic"	"hippocampus__Sporadic"	"Annotation"
"ZNF117"	4.574921	4.396877	4.175305	3.413895	5.368541	5.768493	4.668966	4.551855	5.630325	"zinc finger protein 117"
"PRKG1"	3.676761	5.04366	4.71329	5.266267	6.260507	6.099781	3.74604	5.132554	5.417726	"protein kinase cGMP-dependent 1"
"HTR2A"	6.62077	11.242674	10.356963	6.497062	9.242035	8.310881	6.959912	10.258203	9.169102	"5-hydroxytryptamine receptor 2A"
"KCNJ3"	8.31296	6.968185	7.691765	8.590503	6.026566	5.034573	8.738015	6.910762	7.470618	"potassium voltage-gated channel subfamily J member 3"
"DLX2"	2.683494	5.53326	4.748051	1.925049	4.374045	4.822963	4.026946	6.617608	5.242106	"distal-less homeobox 2"
"CDH12"	5.29456	6.950014	8.185833	5.4258	5.643947	4.071559	5.911168	7.446546	6.858165	"cadherin 12"
"GPC5"	6.604421	8.739022	6.879559	5.98129	8.402547	8.166953	6.947723	8.869778	7.743249	"glypican 5"
"GABRA6"	12.020443	2.781787	5.695228	11.829703	4.146846	3.598197	11.22699	3.590858	2.982759	"gamma-aminobutyric acid type A receptor alpha6 subunit"
"CNTN6"	8.287225	5.877336	6.659301	7.739772	5.589358	6.046151	7.952588	6.566002	6.322399	"contactin 6"
"ZIC3"	10.000028	5.366727	5.652823	9.76149	7.004336	6.599176	9.675875	5.556768	5.965963	"Zic family member 3"
"GABRA3"	3.25048	7.313084	6.62125	5.03804	4.615236	4.813494	3.788753	6.485779	6.512932	"gamma-aminobutyric acid type A receptor alpha3 subunit"
"ZNF345"	6.246752	4.833321	4.783002	6.846634	6.079889	6.422793	6.148668	4.792158	5.956087	"zinc finger protein 345"
"CDR1"	9.379867	3.875693	1.488581	9.229397	5.124052	4.557231	8.83535	3.791881	4.473042	"cerebellar degeneration related protein 1"
"HTR2C"	2.750747	6.299069	10.540598	4.817614	4.32645	5.708731	3.527717	7.127166	8.58763	"5-hydroxytryptamine receptor 2C"
"PZP"	6.15451	5.338621	4.601687	6.015997	6.554177	8.15224	6.031926	5.99537	6.773905	"PZP, alpha-2-macroglobulin like"
"SOX5"	4.083865	6.703206	5.741786	4.335045	7.416313	6.730885	5.077956	6.1791	6.314723	"SRY-box 5"
"KCNS1"	6.680092	10.894109	9.364879	6.818473	9.281409	8.258957	7.575032	9.72839	8.164576	"potassium voltage-gated channel modifier subfamily S member 1"
"NR2E1"	2.53717	9.365955	8.327115	2.454559	9.170373	8.888023	3.614974	9.317154	8.139015	"nuclear receptor subfamily 2 group E member 1"
"GLRA2"	6.019472	3.775236	4.462334	6.729838	4.615429	4.339493	7.538292	4.409945	4.833814	"glycine receptor alpha 2"
"RPS2P45"	6.453233	4.22045	4.494503	6.291942	5.271886	5.709203	5.404872	4.884085	4.60542	"ribosomal protein S2 pseudogene 45"
"GRM7"	5.341309	9.280373	8.518027	5.231279	6.994336	6.926213	7.336851	8.690353	7.722229	"glutamate metabotropic receptor 7"
"HTR4"	4.312144	6.87258	5.309525	5.468841	6.055065	6.671517	5.190359	6.531504	6.911154	"5-hydroxytryptamine receptor 4"
"SERPINI2"	5.604282	5.118326	4.055951	4.546628	5.403045	6.597501	4.888477	5.370636	6.036224	"serpin family I member 2"
"WSCD2"	9.204075	5.640323	5.831834	9.108909	4.690299	4.252833	8.504255	5.562478	5.827943	"WSC domain containing 2"
"RFX4"	5.241873	4.997864	5.0614	4.367874	6.399443	6.839673	4.985427	6.205605	5.730978	"regulatory factor X4"
"CACNB4"	10.003311	9.503394	8.791548	9.380154	7.784162	5.966415	9.322144	8.707325	7.570104	"calcium voltage-gated channel auxiliary subunit beta 4"
"NLGN4Y"	6.577264	5.624396	5.07942	4.826639	6.152473	6.890036	4.78175	4.809872	5.951639	"neuroligin 4 Y-linked"
"SOGA1"	10.650293	7.347095	7.386395	10.347258	7.927549	8.004491	9.973687	7.366165	7.852139	"suppressor of glucose, autophagy associated 1"
"CDH9"	3.910128	6.603207	5.860822	4.420535	4.719763	5.490964	4.624272	6.961407	5.613947	"cadherin 9"
"EGR4"	8.37043	9.246213	7.563452	6.714843	7.006234	6.464057	5.500291	7.295994	7.634758	"early growth response 4"
"AKAP5"	4.052764	7.439496	5.773068	5.05796	5.249344	4.604494	4.737524	6.683991	6.415728	"A-kinase anchoring protein 5"
"ZP2"	7.866205	2.835239	2.170838	4.717479	3.170716	2.777517	6.038378	2.008654	2.858128	"zona pellucida glycoprotein 2"
"HERC4"	6.931268	5.433731	5.652535	7.814439	5.905657	5.949593	6.249905	4.838643	5.656928	"HECT and RLD domain containing E3 ubiquitin protein ligase 4"
"ST8SIA3"	4.410558	6.244929	6.400616	4.963826	4.155467	2.778314	5.873398	5.452702	4.573336	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"
"KCNB2"	4.830627	6.984268	6.674224	5.383208	5.852615	5.288551	4.303266	6.715822	5.567897	"potassium voltage-gated channel subfamily B member 2"
"TTN"	4.791049	4.278532	5.190944	4.913593	6.634107	6.890005	4.799104	5.904949	6.35314	"titin"
"CABP1"	6.577639	10.655615	8.477412	6.643499	8.159463	6.194374	7.459421	9.870164	8.040086	"calcium binding protein 1"
"GABRD"	10.394594	8.898323	6.171822	10.221651	6.412494	4.062621	10.122108	8.240129	7.534182	"gamma-aminobutyric acid type A receptor delta subunit"
"GRIA4"	8.132384	5.137892	5.865077	8.207224	5.734179	6.464614	8.157278	6.109251	6.309793	"glutamate ionotropic receptor AMPA type subunit 4"
"TLX3"	7.152284	4.086569	4.841602	6.902378	3.401235	4.038068	6.060518	3.532103	3.426997	"T cell leukemia homeobox 3"
"ABCC9"	4.049651	5.974844	6.042295	3.43984	6.199304	6.5509	4.440825	6.356769	5.902614	"ATP binding cassette subfamily C member 9"
"UCP2"	6.956027	8.605852	7.792246	6.655901	9.183789	9.207162	6.171839	8.752073	8.506906	"uncoupling protein 2"
"KLF5"	4.75316	5.880143	3.982259	5.612256	7.224032	6.60842	4.580914	6.242485	5.639811	"Kruppel like factor 5"
"CDC42EP3"	5.638965	7.782483	8.018233	5.154081	6.863908	6.75781	5.87134	7.616399	7.263756	"CDC42 effector protein 3"
"ENPP2"	8.973027	10.6896	12.907585	9.381603	11.844733	13.12149	10.126602	11.725181	12.488651	"ectonucleotide pyrophosphatase/phosphodiesterase 2"
"CHI3L1"	7.099568	10.659429	9.313843	7.488647	10.548936	10.203753	8.276744	11.156615	9.606819	"chitinase 3 like 1"
"PLPP2"	6.384845	7.312322	5.771861	7.267155	8.329762	9.065834	6.755362	7.814298	8.250178	"phospholipid phosphatase 2"
"GSTZ1"	5.274464	6.36012	5.905417	3.447372	6.723371	6.5796	5.649773	7.257651	6.717689	"glutathione S-transferase zeta 1"
"RIPK2"	5.490135	6.281026	6.106632	5.696591	7.626524	7.63019	5.231376	6.9193	6.285429	"receptor interacting serine/threonine kinase 2"
"CYTIP"	4.768365	5.506006	5.38827	5.370867	7.435853	7.085136	4.786514	5.775184	5.450496	"cytohesin 1 interacting protein"
"TTR"	4.907723	4.37539	10.242847	5.639955	5.774396	9.60245	4.626041	5.680169	9.98931	"transthyretin"
"CBLB"	10.9622	7.732751	8.067115	10.59998	8.429657	8.73896	10.215293	8.176322	8.463215	"Cbl proto-oncogene B"
"MOXD1"	5.123109	7.877218	6.994374	5.432113	7.825343	7.965369	5.11399	8.329933	8.033426	"monooxygenase DBH like 1"
"CD69"	3.608331	2.53336	4.37184	4.828298	5.228887	6.908337	2.554377	4.40189	4.769911	"CD69 molecule"
"NCF2"	4.746203	5.627999	5.174432	4.015162	7.42805	6.991447	4.980393	6.617091	6.487519	"neutrophil cytosolic factor 2"
"PRKCQ"	5.570045	7.733328	8.707422	6.599857	8.093398	8.571052	7.036286	7.922924	8.44751	"protein kinase C theta"
"AGER"	7.104753	5.091962	3.676841	6.746322	5.434362	5.713175	6.881325	4.424386	5.754762	"advanced glycosylation end-product specific receptor"
"B3GALT2"	3.571151	7.966403	7.037213	1.23139	7.83374	7.374823	5.097493	8.179679	7.484609	"beta-1,3-galactosyltransferase 2"
"TLR5"	5.154941	6.100807	6.105613	5.953094	8.026521	8.267611	5.321856	6.560958	6.50507	"toll like receptor 5"
"MOBP"	8.084374	9.568944	10.986234	7.99244	10.720883	11.954758	8.057925	8.992072	9.951613	"myelin-associated oligodendrocyte basic protein"
"FZD2"	5.138289	5.537164	5.793465	6.141689	7.439976	7.110837	5.302697	6.831646	6.663467	"frizzled class receptor 2"
"CHRNA3"	7.517808	5.107298	6.161977	7.051614	5.957629	6.526049	7.978873	5.013299	5.965927	"cholinergic receptor nicotinic alpha 3 subunit"
"DLGAP2"	5.958944	10.10702	8.183516	5.788061	8.451462	7.712277	6.543347	9.414719	8.40831	"DLG associated protein 2"
"GRM4"	10.170524	6.841173	6.515682	10.09934	7.057017	6.020499	9.524386	6.792357	6.519653	"glutamate metabotropic receptor 4"
"IRX5"	7.240729	4.392484	4.093246	7.58076	4.891512	5.897585	6.590467	4.284189	4.358578	"iroquois homeobox 5"
"KCNF1"	7.075777	8.591396	8.577489	6.49665	7.72018	7.380829	5.299325	7.931885	7.903268	"potassium voltage-gated channel modifier subfamily F member 1"
"RGS6"	4.801346	7.684985	6.515737	6.744568	5.916323	6.725466	6.204257	7.068767	5.391474	"regulator of G protein signaling 6"
"MYT1"	10.398817	6.702694	6.038961	10.478773	7.573265	7.323565	9.6727	6.640851	6.867581	"myelin transcription factor 1"
"SEPT4"	8.53974	5.829062	6.171485	7.951943	6.478497	7.963405	8.120244	6.973458	7.669523	"septin 4"
"CAMK4"	8.87834	7.133726	7.060683	8.391118	5.5522	4.899032	8.796232	6.975734	6.686959	"calcium/calmodulin dependent protein kinase IV"
"MTSS1"	6.24241	5.195198	4.545792	6.607204	5.398054	5.635586	7.119291	6.008229	6.139707	"MTSS1, I-BAR domain containing"
"SCN2B"	7.949922	7.39218	5.866435	8.419751	6.321769	5.898333	8.387895	7.524391	7.269147	"sodium voltage-gated channel beta subunit 2"
"PCDHGA8"	9.784938	6.764614	6.884875	9.700043	7.409598	7.602877	8.992274	6.9577	7.140948	"protocadherin gamma subfamily A, 8"
"NPRL2"	6.913559	5.563618	4.529068	7.762249	6.516513	6.331789	7.403475	6.024258	5.913457	"NPR2 like, GATOR1 complex subunit"
"CCT8"	5.324803	4.964198	3.48136	5.823858	5.05346	5.47244	5.68762	5.059193	5.009004	"chaperonin containing TCP1 subunit 8"
"FABP6"	4.262737	7.508127	5.697565	5.700968	6.975335	7.10251	6.619005	7.382798	7.247423	"fatty acid binding protein 6"
"NPY2R"	2.862699	5.367558	5.46175	3.045597	4.777839	5.515603	2.62935	5.716318	5.994583	"neuropeptide Y receptor Y2"
"TXNRD2"	6.425953	5.768183	4.435985	6.354689	5.992518	5.337108	6.463628	4.715411	5.529285	"thioredoxin reductase 2"
"TRPC3"	6.352342	5.26313	5.912755	6.172933	5.806047	3.567173	6.675843	4.342972	5.243694	"transient receptor potential cation channel subfamily C member 3"
"GCNT2"	5.21098	4.579599	3.915464	6.275462	4.237907	5.689827	6.048075	5.092143	4.898573	"glucosaminyl (N-acetyl) transferase 2 (I blood group)"
"ROR1"	6.429578	2.864524	4.834955	6.273717	4.227141	3.771532	5.548916	3.997541	3.403517	"receptor tyrosine kinase like orphan receptor 1"
"UTY"	5.549564	4.120769	5.758393	3.574949	5.066319	4.034664	3.446104	4.142888	4.393324	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"
"FAM153A"	8.22579	5.850344	6.846921	7.36731	5.507825	5.427337	7.635116	6.511166	6.229176	"family with sequence similarity 153 member A"
"ZIC4"	6.233095	4.210358	5.528759	4.591824	5.86655	5.509242	5.752739	3.920732	5.405885	"Zic family member 4"
"MICAL2"	10.096424	7.534151	8.914852	10.08883	7.803099	6.817181	9.480749	7.715486	8.001975	"microtubule associated monooxygenase, calponin and LIM domain containing 2"
"PDE8A"	7.276111	8.21744	9.446859	7.246831	9.711654	10.569197	7.611834	9.197247	9.59199	"phosphodiesterase 8A"
"CRYBG1"	5.726452	5.702914	7.858543	5.111656	6.955569	6.745407	5.484591	5.923221	6.729891	"crystallin beta-gamma domain containing 1"
"PTPRC"	6.372131	6.859163	7.243392	6.17566	8.611431	9.192759	6.27204	7.607671	7.862246	"protein tyrosine phosphatase, receptor type C"
"RHOBTB1"	5.44794	7.393803	7.803853	5.794586	7.978342	8.304488	5.511464	7.542917	7.584011	"Rho related BTB domain containing 1"
"ELN"	8.331797	4.682225	6.187829	7.575086	6.805109	7.341246	7.292005	6.056063	7.806745	"elastin"
"TBL2"	6.327995	5.916638	5.202206	6.175833	5.578687	5.119748	6.666639	4.167907	5.476419	"transducin beta like 2"
"PAXIP1"	10.857639	7.639029	7.943287	10.712957	8.407049	8.465306	10.495056	8.016673	8.38941	"PAX interacting protein 1"
"NEDD4"	5.861378	5.052283	5.788089	5.684919	7.419741	7.595445	4.351465	6.482328	6.067792	"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase"
"MAST3"	6.172143	11.529784	10.269571	6.269109	9.915192	9.786125	7.205861	10.913439	9.924341	"microtubule associated serine/threonine kinase 3"
"CAMK2A"	6.897326	12.01594	11.076027	6.519408	9.642045	9.784734	7.960231	11.620666	10.811015	"calcium/calmodulin dependent protein kinase II alpha"
"SLC36A1"	9.835069	7.81494	7.439593	10.178234	7.536119	7.140308	9.076894	7.626168	7.428581	"solute carrier family 36 member 1"
"DOCK2"	3.61676	5.12975	4.747734	4.104967	7.64757	7.455264	3.849942	5.576404	6.042664	"dedicator of cytokinesis 2"
"TENM4"	6.230964	9.28531	8.526275	6.240873	8.52009	8.651556	7.23766	8.884765	8.542531	"teneurin transmembrane protein 4"
"RAP1GAP2"	10.740826	10.653709	7.561837	11.252899	9.264972	8.311547	11.31363	10.342655	9.7741	"RAP1 GTPase activating protein 2"
"TMEM30B"	4.242687	4.873587	5.409576	3.386496	7.025278	5.452101	4.62883	5.891877	5.106031	"transmembrane protein 30B"
"NECTIN3"	5.475049	7.819864	7.247369	5.368303	7.033958	7.040698	5.540621	7.514587	7.280596	"nectin cell adhesion molecule 3"
"MTCL1"	13.124274	9.814852	8.743736	12.777838	8.477104	7.605961	12.143234	9.193798	8.541872	"microtubule crosslinking factor 1"
"CDHR1"	4.704652	7.046222	7.767741	5.116617	6.765746	5.465255	5.169152	6.696076	6.335297	"cadherin related family member 1"
"VSTM4"	5.047335	6.140373	6.754705	4.421566	7.498804	7.439542	4.167197	7.109518	6.454661	"V-set and transmembrane domain containing 4"
"STON1"	9.84721	6.237926	6.737927	9.443869	7.305157	8.491891	8.618691	6.525801	8.023412	"stonin 1"
"CLIC2"	4.361447	6.602066	7.403782	5.044006	7.861363	7.439941	6.248061	7.033411	6.314778	"chloride intracellular channel 2"
"SOSTDC1"	2.159129	6.351549	10.30918	2.455742	3.481792	3.621996	3.083809	6.964914	7.671914	"sclerostin domain containing 1"
"NPTX2"	6.552288	10.889452	9.20952	7.951177	8.842658	9.841211	7.019608	8.780993	9.150506	"neuronal pentraxin 2"
"PLPPR4"	6.980303	10.632256	9.438268	7.211347	9.070397	9.157018	8.390713	10.31258	10.203291	"phospholipid phosphatase related 4"
"RECQL4"	4.943714	4.534817	4.539284	6.356822	3.553022	4.039206	5.423472	3.172715	3.010548	"RecQ like helicase 4"
"GLCE"	10.135927	7.762768	7.886579	10.216648	7.689647	7.724052	9.796483	7.746566	7.906917	"glucuronic acid epimerase"
"RNASE6"	3.907357	5.821075	5.171747	4.648769	8.026378	8.325596	4.153782	6.97445	6.271442	"ribonuclease A family member k6"
"APLNR"	8.280182	8.418769	7.019054	7.462744	10.81047	10.952741	8.322446	10.138252	10.000363	"apelin receptor"
"INPP5J"	8.323419	6.554008	6.553614	8.119681	5.535631	4.99247	8.11108	6.035061	6.720041	"inositol polyphosphate-5-phosphatase J"
"METTL3"	8.500586	6.355407	5.859189	8.372248	6.82127	7.8387	8.585479	6.954691	7.114869	"methyltransferase like 3"
"PAMR1"	5.993254	9.091476	7.854957	5.935763	9.355365	9.586315	7.459998	9.434862	9.079295	"peptidase domain containing associated with muscle regeneration 1"
"MFAP5"	3.246886	3.414831	4.346656	3.887407	4.535869	6.102286	3.91848	4.208369	5.711567	"microfibril associated protein 5"
"PENK"	9.077892	7.720677	6.693764	9.797224	6.930368	6.150419	9.334766	7.640556	7.228324	"proenkephalin"
"RSAD2"	5.451919	6.791411	7.490479	5.834484	7.370657	7.849187	5.098018	6.838093	6.526717	"radical S-adenosyl methionine domain containing 2"
"CFH"	7.070894	7.097248	7.978179	6.253293	8.793123	6.353644	5.389541	6.880847	5.99579	"complement factor H"
"CUX2"	6.633916	9.886801	9.888292	6.19431	8.199512	6.474352	7.837191	9.110012	7.884298	"cut like homeobox 2"
"SST"	3.9073	9.490971	8.240557	4.182728	7.567003	7.464174	4.79797	9.578039	8.588549	"somatostatin"
"TWIST1"	5.263775	7.05771	6.478395	5.219235	7.609937	6.927735	5.067057	6.914013	6.017125	"twist family bHLH transcription factor 1"
"SHMT2"	7.533297	6.545775	6.384722	7.49071	6.274645	4.081416	6.961995	5.844451	5.294854	"serine hydroxymethyltransferase 2"
"TXLNGY"	6.4063	5.869882	6.624052	5.583977	5.949553	6.578754	4.255701	4.492497	5.619147	"taxilin gamma pseudogene, Y-linked"
"ASXL3"	4.252094	7.684053	7.860079	3.793641	6.922865	7.108905	4.458259	7.375964	6.453699	"ASXL transcriptional regulator 3"
"NPFF"	8.429431	5.009166	6.135807	8.728227	6.633807	7.013279	7.681969	5.626364	6.078732	"neuropeptide FF-amide peptide precursor"
"GRM5"	6.932446	9.858535	8.883784	6.449767	8.288173	8.022668	7.454962	9.857304	9.056328	"glutamate metabotropic receptor 5"
"DNAH17"	5.805138	6.601546	6.792238	4.026249	5.792239	7.943228	6.247797	6.856326	7.497792	"dynein axonemal heavy chain 17"
"PPFIBP1"	6.379988	8.171306	9.064914	5.439116	8.939121	9.000963	5.410329	8.068526	7.503371	"PPFIA binding protein 1"
"ATP1A3"	10.282426	11.366218	9.381671	10.271689	7.920211	7.165733	11.39972	10.908669	10.83461	"ATPase Na+/K+ transporting subunit alpha 3"
"TFAP2B"	7.225476	3.019361	3.104408	6.884846	4.083545	4.19857	7.210597	3.204137	2.965613	"transcription factor AP-2 beta"
"BCAT1"	4.07823	5.671273	6.375481	4.559485	5.022267	4.643792	5.103924	6.039761	5.416955	"branched chain amino acid transaminase 1"
"GPR65"	4.036511	4.576127	4.389764	4.135587	6.397571	6.462716	3.920029	5.351542	5.613558	"G protein-coupled receptor 65"
"CACNG2"	9.216651	8.535429	7.804527	9.261987	7.59185	5.801552	9.029187	7.960539	7.133625	"calcium voltage-gated channel auxiliary subunit gamma 2"
"PCDHGC3"	7.445751	4.249272	4.339647	7.750192	5.326383	5.965781	7.361588	5.44392	5.274265	"protocadherin gamma subfamily C, 3"
"GPR37"	3.934791	6.820976	7.739411	6.275776	8.620205	9.949367	6.032676	8.009511	8.33406	"G protein-coupled receptor 37"
"KLHL4"	3.619549	7.038185	7.378654	3.964246	7.233801	7.566917	4.916492	7.043147	6.891406	"kelch like family member 4"
"CHRM3"	3.478767	10.008388	7.924938	4.405946	8.171784	6.720281	5.320249	9.401744	7.750182	"cholinergic receptor muscarinic 3"
"PAK3"	7.866633	11.556372	10.997983	7.440968	9.854515	9.510787	8.478035	10.963548	10.37934	"p21 (RAC1) activated kinase 3"
"DRD1"	3.861985	6.306215	4.806079	4.560694	5.424985	5.41172	3.970139	6.595893	5.544631	"dopamine receptor D1"
"GPR6"	4.661362	7.37089	5.467939	5.124513	4.792857	5.08811	5.421841	7.637781	5.61818	"G protein-coupled receptor 6"
"ITGA1"	3.515614	4.779865	5.212339	3.382462	6.277926	5.753945	2.416834	4.314679	4.49243	"integrin subunit alpha 1"
"PATJ"	10.060564	3.504617	4.656432	9.955924	4.217377	4.886461	9.118152	4.970153	5.0111	"PATJ, crumbs cell polarity complex component"
"TRMT9B"	8.186329	4.364278	6.502921	8.100442	4.672561	4.184453	7.671085	4.468729	5.776795	"tRNA methyltransferase 9B (putative)"
"RIMBP2"	5.213796	9.748232	9.481856	5.042126	6.791991	6.524046	6.803483	9.157751	8.897513	"RIMS binding protein 2"
"BRINP2"	6.000003	9.731055	6.965574	6.227068	8.871787	8.424651	5.856278	9.138385	8.25459	"BMP/retinoic acid inducible neural specific 2"
"CNIH3"	5.574954	8.148168	7.250533	5.920553	6.725725	6.676284	6.43163	8.250234	7.94997	"cornichon family AMPA receptor auxiliary protein 3"
"SYT2"	10.128256	8.554306	7.988314	9.969276	6.860486	6.79299	9.809042	7.594479	7.056449	"synaptotagmin 2"
"ADAMTS3"	3.302206	6.807926	6.317318	5.051754	6.362102	6.443951	4.417752	6.964594	5.83572	"ADAM metallopeptidase with thrombospondin type 1 motif 3"
"LRCH1"	9.54997	6.826822	6.086603	9.239303	6.300378	6.099115	8.814616	6.78118	6.05119	"leucine rich repeats and calponin homology domain containing 1"
"SUSD5"	5.704004	8.195267	8.395071	5.961208	7.719808	7.308685	5.568458	7.764365	7.393766	"sushi domain containing 5"
"MTUS2"	8.969311	8.708383	8.821736	9.341416	8.055097	5.21305	8.920365	8.581521	8.20631	"microtubule associated scaffold protein 2"
"NECAB2"	4.196407	8.883791	6.798008	4.755222	7.706943	7.719556	5.0327	8.522786	6.54496	"N-terminal EF-hand calcium binding protein 2"
"CEP295"	5.994052	5.047316	4.034267	6.092735	5.639815	5.715744	6.538761	5.15156	4.536185	"centrosomal protein 295"
"TRIM58"	4.233821	5.235657	4.051546	1.727313	5.459858	5.577543	2.613603	4.816887	4.241337	"tripartite motif containing 58"
"FRMPD4"	6.406033	8.829244	7.905271	5.933808	7.614635	6.855533	7.454199	8.655866	8.105122	"FERM and PDZ domain containing 4"
"MINAR1"	8.069071	4.917293	3.76869	7.421759	5.430349	4.793338	7.317982	5.269764	4.38808	"membrane integral NOTCH2 associated receptor 1"
"IBTK"	7.415998	5.094073	5.076824	6.104567	5.679559	5.206072	6.339625	5.715541	4.849326	"inhibitor of Bruton tyrosine kinase"
"DPY19L1P1"	5.111045	5.31838	4.986411	3.039575	6.12052	5.757907	4.780737	5.734626	5.759112	"DPY19L1 pseudogene 1"
"NRIP2"	9.443172	6.35818	7.222636	9.658311	6.959002	7.247514	9.126854	6.939623	7.195381	"nuclear receptor interacting protein 2"
"ARHGEF10"	5.683027	5.237411	5.529564	3.532553	6.281506	7.427875	5.1305	5.769943	6.1698	"Rho guanine nucleotide exchange factor 10"
"CAMK1G"	2.599741	9.250557	6.974561	3.001867	5.170002	3.657543	3.927209	8.445101	6.773769	"calcium/calmodulin dependent protein kinase IG"
"PTPN20"	6.954029	6.427666	6.71801	7.434815	5.543012	3.684316	7.208501	6.668907	6.810903	"protein tyrosine phosphatase, non-receptor type 20"
"CDH22"	9.685071	8.29966	6.597879	9.594668	6.069212	5.010366	9.304836	7.324606	6.118719	"cadherin 22"
"STK24"	6.548485	5.695336	3.755027	7.233676	5.817842	6.289299	6.22457	4.932132	5.118265	"serine/threonine kinase 24"
"RRN3P1"	8.70384	5.317408	4.904565	8.482836	5.633871	5.398338	8.013374	5.526225	6.439391	"RRN3 homolog, RNA polymerase I transcription factor pseudogene 1"
"NHLH2"	9.429912	6.405656	6.820431	9.772513	6.830972	7.904292	8.582059	6.550926	7.761758	"nescient helix-loop-helix 2"
"DYRK1A"	6.145939	4.88017	2.928984	6.578322	4.824693	5.526098	6.255086	4.515497	5.223769	"dual specificity tyrosine phosphorylation regulated kinase 1A"
"ANO3"	3.729141	10.147683	8.853008	3.714118	7.567777	7.494262	4.307191	9.601361	8.552476	"anoctamin 3"
"ZNF749"	4.549964	4.733808	5.364042	5.984215	4.632776	3.339022	3.964721	4.175855	4.174114	"zinc finger protein 749"
"LOC441204"	6.837416	3.815964	3.752229	5.791173	3.527609	4.528815	6.885196	5.290375	5.377019	"uncharacterized LOC441204"
"SYCE1L"	6.870438	2.314742	3.920668	7.05055	5.17602	4.256381	5.801022	3.887489	4.193348	"synaptonemal complex central element protein 1 like"
"LOC647070"	4.820383	5.053108	4.857447	5.762125	6.769388	6.707555	3.972405	5.006598	4.909418	"uncharacterized LOC647070"
"SORCS3"	6.577282	8.048781	5.802295	4.371968	6.754064	6.434092	7.307186	7.555682	7.078104	"sortilin related VPS10 domain containing receptor 3"
"KHDRBS2"	5.136057	7.759071	7.0325	6.177113	7.91992	7.371862	5.684635	7.061404	6.317165	"KH RNA binding domain containing, signal transduction associated 2"
"OR7E2P"	4.506439	4.205716	5.984775	2.982442	5.163866	3.402979	4.427295	3.960569	4.302645	"olfactory receptor family 7 subfamily E member 2 pseudogene"
"PART1"	5.210448	9.022755	8.193222	4.417931	6.435432	6.222888	4.793608	8.198635	6.035603	"prostate androgen-regulated transcript 1"
"CCDC144A"	6.430606	5.010283	5.266473	6.364729	4.43846	4.313931	5.415901	5.098893	4.697318	"coiled-coil domain containing 144A"
"ANKRD34C"	7.767054	7.420868	6.851553	7.6928	5.885447	4.515434	8.167215	6.473531	6.225423	"ankyrin repeat domain 34C"
"ABI2"	7.428488	5.883193	5.427513	7.237455	5.381779	5.728393	7.125324	5.746583	5.849682	"abl interactor 2"
"CYSLTR1"	4.499052	3.984693	4.856371	5.765883	5.632838	5.481937	3.85801	4.959081	4.592551	"cysteinyl leukotriene receptor 1"
"DGKB"	3.406429	7.808319	6.389643	3.157062	6.611576	6.56962	5.815596	7.506186	6.988394	"diacylglycerol kinase beta"
"LOC100287387"	3.674414	4.234554	3.744015	3.432338	3.708137	2.791509	2.943133	5.064472	4.61903	"uncharacterized LOC100287387"
"ABCA6"	5.765731	4.472157	5.663373	5.192255	6.413176	7.635472	5.400505	5.068499	6.545271	"ATP binding cassette subfamily A member 6"
"OLFML1"	6.000944	4.728432	7.255074	4.731565	6.775187	6.082747	5.87259	5.951136	6.462645	"olfactomedin like 1"
"USP27X"	7.699213	6.260157	5.984914	7.746579	5.557827	6.342076	7.243264	5.756735	5.771299	"ubiquitin specific peptidase 27 X-linked"
"MYLK3"	6.207017	3.723303	4.936823	4.720762	3.486401	7.471367	2.9772	4.015301	5.80727	"myosin light chain kinase 3"
"PHF3"	5.219756	3.411422	2.199398	4.815625	3.761166	4.88798	4.53405	4.236719	4.464103	"PHD finger protein 3"
"OLFML3"	6.165609	6.810894	7.484608	5.849848	9.036669	8.464097	6.229096	8.38655	8.097551	"olfactomedin like 3"
"GREM1"	6.493398	7.095395	8.493428	6.480774	8.186862	9.492241	6.951306	8.052671	8.516024	"gremlin 1, DAN family BMP antagonist"
"LPAR6"	6.973309	7.591562	8.081669	6.932306	9.488453	9.666807	6.512356	8.037344	8.325851	"lysophosphatidic acid receptor 6"
"RNF43"	7.938313	5.916394	6.069024	7.621522	6.839589	6.148958	8.042889	6.014268	5.95828	"ring finger protein 43"
"CHMP6"	5.730053	7.390385	7.14043	4.78326	7.454574	7.055215	6.271043	7.154885	7.326147	"charged multivesicular body protein 6"
"UGGT2"	5.271976	7.46992	8.384797	5.724476	7.828619	8.230759	5.294413	7.806317	7.820405	"UDP-glucose glycoprotein glucosyltransferase 2"
"COL5A3"	5.727311	6.780743	6.480503	5.153647	8.354104	8.752259	5.947334	7.944361	8.241619	"collagen type V alpha 3 chain"
"FHOD3"	5.511148	8.637629	8.394308	6.044859	8.228341	8.09013	7.256689	8.594779	8.539368	"formin homology 2 domain containing 3"
"C1RL"	6.568855	7.361003	8.246849	5.551501	8.244152	8.219179	5.893379	8.177408	7.892683	"complement C1r subcomponent like"
