"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"	"Annotation"
"GAMT2"	3.955927	3.250179	4.118236	3.044995	2.672181	2.958736	2.632999	3.071301	3.927783	4.484373	4.842976	2.650053	3.457791	3.978014	5.583281	5.283929	4.611012	4.552524	4.210437	4.983946	3.902061	3.259425	4.226226	2.817831	4.331716	3.596836	4.452865	1.96974	"A member of the Arabidopsis SABATH methyltransferase gene family.  Encodes GAMT2, a methyltransferase that uses S-adenosine-L-methionine (SAM) as a methyl donor to methylate the carboxyl group of GAs, resulting in the methyl esters of GAs (MeGAs).  Expressed most highly in the siliques during seed development."
"CRR21"	3.062881	2.877311	2.344234	2.757264	3.391119	4.451646	4.51744	1.919345	2.770587	1.546879	2.74381	4.260712	3.787306	4.139617	1.972691	1.993126	1.697536	3.51621	1.86963	2.256711	3.003514	1.695613	1.601288	1.476214	3.300669	3.483103	1.763045	2.675209	"Encodes a member of the E+ subgroup of the PPR protein family, containing the E and E+ motifs following a tandem array of PPR motifs.  It also contains an unknown motif consisting of 15 aa, which is highly conserved in some PPR proteins, including CRR4.  CRR21 is involved in RNA editing of the site 2 of ndhD (ndhD-2),which encodes a subunit of the NDH complex.  The RNA editing changes aa 128 from Ser to Leu.  Mutants have impaired NDH complex activity."
"ATGEX1..GEX1"	4.427415	5.806913	2.740613	3.876421	2.69802	5.422314	3.648167	4.218456	4.657788	4.712299	4.738985	3.503762	4.516563	4.377886	4.753781	3.871845	5.180298	3.863483	4.132582	4.788544	4.482643	4.5073	4.846088	3.310307	4.936418	5.133254	4.180046	4.962294	"Encodes a transmembrane domain containing protein that is expressed in pollen germ cells., Encodes a transmembrane domain containing protein that is expressed in pollen germ cells."
"AtRAN4..RAN4"	2.652391	2.780264	2.670441	3.68692	4.835283	4.894617	4.597739	4.130734	4.446284	4.13803	4.54017	4.281687	3.929053	4.503526	5.228453	3.863258	5.360351	5.34345	4.72244	4.946258	4.930119	4.820503	4.898525	4.387089	4.702284	3.105537	4.265914	3.944974	"A member of RAN GTPase gene family., A member of RAN GTPase gene family."
"AtIAMT1..IAMT1"	5.292926	4.605822	5.208619	3.951621	5.146562	4.314273	3.895225	11.244918	8.902817	9.941382	8.185445	7.911131	8.775894	8.762938	9.513208	7.740736	6.3891	5.765904	5.226734	5.535134	4.855301	8.481412	6.682025	5.504811	5.354456	4.302805	6.134083	5.665966	"Encodes an enzyme which specifically converts IAA to its methyl ester form MelIAA. This gene belongs to the family of carboxyl methyltransferases whose members  catalyze the transfer of the methyl group from S-adenosyl-L-methionine to carboxylic acid-containing substrates to form small molecule methyl esters. Expression of TCP genes is downregulated in mutant iamt1-D., Encodes an enzyme which specifically converts IAA to its methyl ester form MelIAA. This gene belongs to the family of carboxyl methyltransferases whose members  catalyze the transfer of the methyl group from S-adenosyl-L-methionine to carboxylic acid-containing substrates to form small molecule methyl esters. Expression of TCP genes is downregulated in mutant iamt1-D."
"GAUT12..IRX8..LGT6"	7.117028	5.705038	5.258733	5.355475	5.336694	5.465842	5.81533	7.274435	6.209822	7.086024	6.706043	6.851246	6.874812	7.051845	7.881788	7.153496	7.809903	7.508505	7.653195	7.8928	6.922213	8.250032	9.265163	9.811603	10.339447	9.289902	9.740265	9.874654	"Encodes a protein with  putative galacturonosyltransferase activity. Mutants defective in this gene displayed a notable reduction in xylose (>50%) in the cell walls from stems and roots and a reduction in cellulose (~25%)., Encodes a protein with  putative galacturonosyltransferase activity. Mutants defective in this gene displayed a notable reduction in xylose (>50%) in the cell walls from stems and roots and a reduction in cellulose (~25%)., Encodes a protein with  putative galacturonosyltransferase activity. Mutants defective in this gene displayed a notable reduction in xylose (>50%) in the cell walls from stems and roots and a reduction in cellulose (~25%)."
"THI1..THI4..TZ"	3.949357	3.500438	4.417605	4.046124	4.092075	5.282343	4.422394	7.667858	9.038749	9.265995	9.920843	8.396831	7.612408	7.806774	5.692061	4.422009	4.960678	5.236644	6.626783	4.691556	5.439792	5.799111	6.54858	5.89309	6.800581	5.984775	6.290892	7.553526	"Encodes a thiamine biosynthetic gene that has a dual function in thiamine biosynthesis and mitochondrial DNA damage tolerance. It appears to be involved in producing the thiazole portion of thiamine (vitamin B1). A crystal structure of the protein reveals that it forms a 2-ring homo-octamer., Encodes a thiamine biosynthetic gene that has a dual function in thiamine biosynthesis and mitochondrial DNA damage tolerance. It appears to be involved in producing the thiazole portion of thiamine (vitamin B1). A crystal structure of the protein reveals that it forms a 2-ring homo-octamer., Encodes a thiamine biosynthetic gene that has a dual function in thiamine biosynthesis and mitochondrial DNA damage tolerance. It appears to be involved in producing the thiazole portion of thiamine (vitamin B1). A crystal structure of the protein reveals that it forms a 2-ring homo-octamer."
"LHCB3..LHCB3.1"	4.322389	2.74851	3.910937	3.436962	4.367682	3.882825	3.616126	9.680915	9.80401	9.982043	9.673783	9.262008	9.321836	9.126041	6.624826	4.102373	4.027972	7.139272	7.517694	5.693232	5.792999	7.049447	6.289678	4.230145	7.321006	6.895541	7.199051	7.677679	"Lhcb3 protein is a component of the main light harvesting chlorophyll a/b-protein complex of Photosystem II (LHC II)., Lhcb3 protein is a component of the main light harvesting chlorophyll a/b-protein complex of Photosystem II (LHC II)."
"ATMRE11..MRE11"	3.791894	5.62605	5.278445	4.213347	5.676494	6.131465	5.553749	4.159829	3.716218	4.747207	4.509478	4.638136	5.143753	5.308366	4.799298	3.480686	4.684005	3.756976	6.024232	5.551965	3.972689	3.184176	4.054777	5.262222	3.300974	4.082701	5.390621	5.361426	"DNA repair and meiotic recombination protein, component of MRE11 complex with RAD50 and NBS1, DNA repair and meiotic recombination protein, component of MRE11 complex with RAD50 and NBS1"
"PORA"	6.611812	6.12811	4.819991	4.050261	4.742614	4.333778	4.684919	6.306987	5.076335	5.5063	4.384207	3.564751	3.958657	4.575424	6.46417	5.775258	4.970767	3.909597	4.287622	4.109332	3.855865	5.374962	4.701655	4.018081	4.290597	3.764866	3.550298	3.988002	"light-dependent NADPH:protochlorophyllide oxidoreductase A"
"AtMYB49..MYB49"	5.10057	4.265262	4.414983	2.987571	3.413715	3.671912	1.699823	5.798379	8.174453	6.108653	5.952761	5.757212	4.271491	5.427451	10.63234	10.306122	9.039942	8.374583	6.833552	6.288382	6.528167	7.034695	8.035111	7.133448	6.560613	5.394848	5.387578	5.334313	"Encodes a putative transcription factor (MYB49)., Encodes a putative transcription factor (MYB49)."
"ATHB52..HB52"	2.695715	3.159603	4.146427	3.619414	5.499844	5.500072	5.438368	3.701941	6.801176	6.243574	6.209078	6.669679	6.872844	6.93442	2.117216	4.874907	4.1289	5.788503	6.758202	6.039335	5.84208	2.798647	2.471675	1.056994	4.200915	4.869293	3.40693	4.821316	"Encodes a homeodomain leucine zipper class I (HD-Zip I) protein., Encodes a homeodomain leucine zipper class I (HD-Zip I) protein."
"ATWRKY27..WRKY27"	8.646338	8.083861	7.993942	7.519065	7.802589	7.561019	7.701685	8.152432	6.627898	7.726128	7.472681	7.359316	6.875435	7.189701	7.310876	5.749329	5.922517	5.451767	5.649469	5.012039	4.43959	9.089168	6.967534	6.925123	7.067072	6.61061	6.070457	6.55592	"Encodes a WRKY transcription factor WRKY27.  Mutation in Arabidopsis WRKY27 results in delayed symptom development in response to the bacterial wilt pathogen Ralstonia solanacearum., Encodes a WRKY transcription factor WRKY27.  Mutation in Arabidopsis WRKY27 results in delayed symptom development in response to the bacterial wilt pathogen Ralstonia solanacearum."
"AtMYB19..MYB19"	3.674716	3.049837	1.988308	1.655316	2.026671	1.555231	1.919773	7.182122	7.449493	5.91601	5.121239	5.903185	6.114401	6.030311	6.044265	5.02449	4.114305	2.407205	3.100314	3.531757	2.080133	5.441578	4.845568	2.711706	2.388499	3.146753	2.605688	3.293818	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"LTI65..RD29B"	6.310256	8.588797	8.31349	7.429858	7.591852	6.447703	6.439263	6.02974	11.355879	10.708957	10.149994	8.743238	8.038291	9.064761	6.17111	9.033654	9.555534	8.115935	7.428882	7.992103	7.585873	5.100514	9.974264	9.84629	9.039252	8.199156	8.297778	7.680305	"encodes a protein that is induced in expression in response to water deprivation such as cold, high-salt, and dessication. The response appears to be via abscisic acid. The promoter region contains two ABA-responsive elements (ABREs) that are required for the dehydration-responsive expression of rd29B as cis-acting elements. Protein is a member of a gene family with other members found plants, animals and fungi., encodes a protein that is induced in expression in response to water deprivation such as cold, high-salt, and dessication. The response appears to be via abscisic acid. The promoter region contains two ABA-responsive elements (ABREs) that are required for the dehydration-responsive expression of rd29B as cis-acting elements. Protein is a member of a gene family with other members found plants, animals and fungi."
"CYP96A4"	3.313823	3.38278	2.449929	3.008411	2.161666	1.260283	2.966804	4.263251	1.087046	2.405338	4.392286	4.850327	4.92362	5.629974	2.914201	2.764096	3.190124	4.407182	4.511791	3.535861	2.754603	5.406688	1.729682	1.322448	1.09602	3.584647	3.035275	3.565116	"member of CYP96A"
"CYP715A1"	6.803253	6.229309	6.304092	6.349463	5.954651	7.508011	6.960103	8.122561	8.491171	8.90744	9.441209	10.086067	9.459078	10.253065	6.352364	8.400116	7.930284	9.245182	9.475996	9.888731	8.871151	7.539281	9.777666	10.103625	10.558087	9.374798	9.633922	10.613483	"member of CYP715A"
"HDG7"	4.137638	5.460434	6.74657	7.621485	7.313015	8.39201	7.867748	2.440001	2.788236	5.039187	6.119262	7.000017	7.443296	6.600016	2.906497	2.529597	3.787007	4.756876	5.067542	4.238261	5.20686	2.669096	2.937604	2.184135	3.844341	4.868356	3.687501	5.792853	"Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family."
"AT2353..ATGA20OX2..GA20OX2"	4.300869	3.576018	3.470756	1.635731	3.219511	4.90118	4.533246	6.409664	5.31712	7.32797	5.898935	7.904632	8.77933	7.852243	4.93259	4.942969	4.456504	5.006796	5.303114	4.526044	5.324631	3.945284	3.445661	4.266103	2.906398	4.290525	3.700917	3.301785	"Encodes gibberellin 20-oxidase. Involved in gibberellin biosynthesis. Up-regulated by far red light in elongating petioles. Not regulated by a circadian clock., Encodes gibberellin 20-oxidase. Involved in gibberellin biosynthesis. Up-regulated by far red light in elongating petioles. Not regulated by a circadian clock., Encodes gibberellin 20-oxidase. Involved in gibberellin biosynthesis. Up-regulated by far red light in elongating petioles. Not regulated by a circadian clock."
"ATMAP65.3..MAP65.3..PLE"	6.512879	6.630449	6.180025	6.708084	6.451329	7.071734	6.919803	3.870165	4.122077	5.370524	5.501193	6.592994	6.987334	6.22745	4.376882	5.035142	5.189761	5.049059	6.046873	6.149888	6.047149	4.320455	4.673412	3.785348	5.591238	5.601186	6.51609	6.319709	"Mutant has defective roots. Essential for giant cell ontogenesis. Role in organizing the mitotic microtubule array during both early and late mitosis in all plant organs., Mutant has defective roots. Essential for giant cell ontogenesis. Role in organizing the mitotic microtubule array during both early and late mitosis in all plant organs., Mutant has defective roots. Essential for giant cell ontogenesis. Role in organizing the mitotic microtubule array during both early and late mitosis in all plant organs."
"AHG1"	5.032677	5.302405	4.795074	5.439861	4.110611	4.485223	4.668717	5.666756	6.793445	4.100012	4.293775	5.072657	4.944871	6.042325	7.162606	7.489662	6.03227	5.837043	5.822197	5.895602	5.677459	6.379089	6.200061	4.667833	5.370831	5.611099	4.610505	5.963253	"Encodes AHG1 (ABA-hypersensitive germination 1), a putative protein phosphatase 2C (PP2C).  Expressed in seeds.  AHG1 functions in seed development and germination."
"ATMYB111..MYB111..PFG3"	5.541671	4.5566	3.0213	4.568231	2.587928	4.320925	4.53588	4.371681	3.739909	3.843646	3.85527	4.601342	4.17817	2.361088	5.520763	5.753468	4.556613	5.793431	5.399541	5.273564	5.338475	4.772208	5.06629	4.342101	2.556701	5.095424	3.617514	3.107143	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"AtMYB78..MYB78"	3.889965	2.038509	3.276201	2.805032	4.308547	3.550568	2.120052	5.340109	4.88851	4.546903	5.114757	5.402697	4.826834	5.475877	6.541812	6.077006	6.330002	5.410478	6.127412	6.98631	6.437937	6.947261	8.499537	8.646217	7.358044	6.911154	7.782809	8.557863	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"AAP6"	2.305932	4.843439	4.17425	4.099655	3.638852	3.904973	4.077245	4.140079	4.156469	3.334139	3.383901	4.224256	4.335645	4.56222	4.598035	3.760132	4.219831	5.469054	4.649684	4.858158	5.712462	2.511488	3.629639	4.620118	5.452558	4.493081	3.599769	5.228729	"Is a high affinity amino acid transporter capable of transporting aspartate and tryptophan. May be involved in the amino acid uptake from xylem."
"ATBXL1..BXL1"	8.403521	9.626012	7.428923	6.654616	7.066049	7.799435	7.392586	11.912269	11.168429	10.843907	9.845821	9.822437	11.112284	10.939272	9.860373	8.976324	8.517029	7.378099	7.809022	8.268736	8.513245	9.188239	8.408761	6.261213	6.707978	6.932979	7.583854	7.529672	"Encodes a bifunctional {beta}-D-xylosidase/{alpha}-L-arabinofuranosidase required for pectic arabinan modification.  Located in the extracellular matrix. Gene is expressed specifically in tissues undergoing secondary wall thickening. This is a member of glycosyl hydrolase family 3 and has six other closely related members., Encodes a bifunctional {beta}-D-xylosidase/{alpha}-L-arabinofuranosidase required for pectic arabinan modification.  Located in the extracellular matrix. Gene is expressed specifically in tissues undergoing secondary wall thickening. This is a member of glycosyl hydrolase family 3 and has six other closely related members."
"KCS21"	3.607899	2.610919	3.895186	3.827526	3.054167	3.736175	3.387815	4.485051	3.954624	3.022254	4.57844	4.682247	3.912978	4.30067	2.274373	5.978846	4.751565	2.230622	4.641585	4.630105	3.652504	2.557229	4.214034	4.021573	2.023897	4.663551	4.128163	3.643115	"Encodes KCS21, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids)."
"CYP705A5..THAD..THAD1"	10.549078	10.273508	9.150127	7.419096	8.844414	10.694011	9.885242	11.806822	11.423445	11.381099	9.365972	11.220602	11.870974	12.377056	10.163926	8.520457	7.943547	6.323775	8.056317	8.455466	9.43071	11.823571	10.544671	9.568055	7.679939	9.935169	10.035204	10.177993	"encodes a member of the CYP705A family of cytochrome P450 enzymes. It appears to catalyze the addition of a double bond to thalian-diol at carbon 15. Reduced levels of THAD expression lead to a build up of thalian-diol in root extracts. thad1-1 mutants also have longer roots than wild type seedlings., encodes a member of the CYP705A family of cytochrome P450 enzymes. It appears to catalyze the addition of a double bond to thalian-diol at carbon 15. Reduced levels of THAD expression lead to a build up of thalian-diol in root extracts. thad1-1 mutants also have longer roots than wild type seedlings., encodes a member of the CYP705A family of cytochrome P450 enzymes. It appears to catalyze the addition of a double bond to thalian-diol at carbon 15. Reduced levels of THAD expression lead to a build up of thalian-diol in root extracts. thad1-1 mutants also have longer roots than wild type seedlings."
"CYP708..CYP708A2..THAH..THAH1"	10.076902	10.078665	8.17548	6.949342	7.486507	9.982096	9.106744	10.842515	11.054109	10.114408	8.378623	10.61165	11.437402	12.099833	9.304007	8.280314	7.382919	4.313874	6.725056	7.958413	9.209968	11.051104	9.744107	8.546512	6.958179	8.905302	9.236504	9.492519	"Encodes a member of the CYP708A family of cytochrome P450 enzymes. THAH appears to add a hydroxyl group to the triterpene thalianol. thah1 mutants have an elevated accumulation of thalianol. thah1-1 mutants have longer roots than wild type plants. Thalian-diol and desaturated thalian-diol are lost from the root extracts of thah1-1 mutants. Overexpression of the sequence from At5g48000.1 rescues the thah1-1 mutant phenotype (Field 2008); it is unknown whether the shorter sequences associated with other gene models would provide functional complementation., Encodes a member of the CYP708A family of cytochrome P450 enzymes. THAH appears to add a hydroxyl group to the triterpene thalianol. thah1 mutants have an elevated accumulation of thalianol. thah1-1 mutants have longer roots than wild type plants. Thalian-diol and desaturated thalian-diol are lost from the root extracts of thah1-1 mutants. Overexpression of the sequence from At5g48000.1 rescues the thah1-1 mutant phenotype (Field 2008); it is unknown whether the shorter sequences associated with other gene models would provide functional complementation., Encodes a member of the CYP708A family of cytochrome P450 enzymes. THAH appears to add a hydroxyl group to the triterpene thalianol. thah1 mutants have an elevated accumulation of thalianol. thah1-1 mutants have longer roots than wild type plants. Thalian-diol and desaturated thalian-diol are lost from the root extracts of thah1-1 mutants. Overexpression of the sequence from At5g48000.1 rescues the thah1-1 mutant phenotype (Field 2008); it is unknown whether the shorter sequences associated with other gene models would provide functional complementation., Encodes a member of the CYP708A family of cytochrome P450 enzymes. THAH appears to add a hydroxyl group to the triterpene thalianol. thah1 mutants have an elevated accumulation of thalianol. thah1-1 mutants have longer roots than wild type plants. Thalian-diol and desaturated thalian-diol are lost from the root extracts of thah1-1 mutants. Overexpression of the sequence from At5g48000.1 rescues the thah1-1 mutant phenotype (Field 2008); it is unknown whether the shorter sequences associated with other gene models would provide functional complementation."
"AtTHAS1..THAS..THAS1"	9.900838	9.712068	8.064414	6.498096	7.783548	9.702251	9.302054	10.670993	10.242935	9.752031	7.650645	9.889829	10.646869	11.744427	9.338021	8.189437	7.2405	5.45549	7.050491	7.899641	9.040526	11.124753	9.412513	8.644811	6.742783	8.895329	8.992416	9.514411	"Encodes an oxidosqualene cyclase involved in the  biosynthesis of thalianol, a tricyclic triterpenoid of unknown function. Overexpression of THAS leads to dwarfing in the aerial tissues of Arabidopsis plants, but increases their root length. THAS is part of a small operon-like cluster of genes (with At5g48000 (THAH) and At5g47990 (THAD)) involved in thalianol metabolism., Encodes an oxidosqualene cyclase involved in the  biosynthesis of thalianol, a tricyclic triterpenoid of unknown function. Overexpression of THAS leads to dwarfing in the aerial tissues of Arabidopsis plants, but increases their root length. THAS is part of a small operon-like cluster of genes (with At5g48000 (THAH) and At5g47990 (THAD)) involved in thalianol metabolism., Encodes an oxidosqualene cyclase involved in the  biosynthesis of thalianol, a tricyclic triterpenoid of unknown function. Overexpression of THAS leads to dwarfing in the aerial tissues of Arabidopsis plants, but increases their root length. THAS is part of a small operon-like cluster of genes (with At5g48000 (THAH) and At5g47990 (THAD)) involved in thalianol metabolism."
"ATXTH20..XTH20"	7.649882	6.936734	6.751655	6.978387	6.314877	5.869039	6.487978	8.708557	7.782494	9.100549	8.902352	8.498273	8.003251	7.695025	9.788169	8.771983	9.992239	10.043034	9.309012	9.484373	9.522964	9.472014	10.574754	11.910417	11.676978	10.495491	10.601915	10.667603	"putative xyloglucan endotransglycosylase/hydrolase, expressed primarily in the stele of mature non-elongating regions of both the main and the lateral root.  Is expressed in lateral root primordia but expression ceases after lateral root begins to grow., putative xyloglucan endotransglycosylase/hydrolase, expressed primarily in the stele of mature non-elongating regions of both the main and the lateral root.  Is expressed in lateral root primordia but expression ceases after lateral root begins to grow."
"ATLAC15..AtTT10..LAC15..TT10"	4.581874	5.599512	6.081111	4.204515	5.753236	6.414611	6.709817	3.563983	4.983067	5.467794	4.734564	6.009427	5.630117	6.118783	3.547273	3.291292	4.975341	4.669617	5.628331	5.042701	5.181179	5.661262	5.44395	2.3713	4.071841	4.826789	5.49357	4.739778	"Encodes a protein that is similar to laccase-like polyphenol oxidases.  Involved in lignin and flavonoids biosynthesis.  It has four conserved copper binding domains. Expressed in developing testa, where it colocalizes with the flavonoid end products proanthocyanidins and flavonols. Mutant plants exhibited a delay in developmentally determined browning of the testa, characterized by the pale brown color of seed coat. The tt10 mutant seeds accumulate more epicatechin monomers and more soluble proanthocyanidins than wild-type seeds. Flavonol composition was also affected in tt10 seeds, which exhibited a higher ratio of quercetin rhamnoside monomers versus dimers than wild-type seeds., Encodes a protein that is similar to laccase-like polyphenol oxidases.  Involved in lignin and flavonoids biosynthesis.  It has four conserved copper binding domains. Expressed in developing testa, where it colocalizes with the flavonoid end products proanthocyanidins and flavonols. Mutant plants exhibited a delay in developmentally determined browning of the testa, characterized by the pale brown color of seed coat. The tt10 mutant seeds accumulate more epicatechin monomers and more soluble proanthocyanidins than wild-type seeds. Flavonol composition was also affected in tt10 seeds, which exhibited a higher ratio of quercetin rhamnoside monomers versus dimers than wild-type seeds., Encodes a protein that is similar to laccase-like polyphenol oxidases.  Involved in lignin and flavonoids biosynthesis.  It has four conserved copper binding domains. Expressed in developing testa, where it colocalizes with the flavonoid end products proanthocyanidins and flavonols. Mutant plants exhibited a delay in developmentally determined browning of the testa, characterized by the pale brown color of seed coat. The tt10 mutant seeds accumulate more epicatechin monomers and more soluble proanthocyanidins than wild-type seeds. Flavonol composition was also affected in tt10 seeds, which exhibited a higher ratio of quercetin rhamnoside monomers versus dimers than wild-type seeds., Encodes a protein that is similar to laccase-like polyphenol oxidases.  Involved in lignin and flavonoids biosynthesis.  It has four conserved copper binding domains. Expressed in developing testa, where it colocalizes with the flavonoid end products proanthocyanidins and flavonols. Mutant plants exhibited a delay in developmentally determined browning of the testa, characterized by the pale brown color of seed coat. The tt10 mutant seeds accumulate more epicatechin monomers and more soluble proanthocyanidins than wild-type seeds. Flavonol composition was also affected in tt10 seeds, which exhibited a higher ratio of quercetin rhamnoside monomers versus dimers than wild-type seeds."
"ATTIP2.3..DELTA.TIP3..TIP2.3"	11.892472	13.033205	11.165734	8.245609	8.456475	7.85024	7.64883	13.651111	14.256116	12.959613	10.782502	11.300904	11.71082	12.25924	13.667409	13.505842	11.265258	9.761932	10.861242	10.677298	10.681816	13.518509	13.739076	12.773738	10.827836	11.239432	11.348083	12.083176	"Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3)., Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3)., Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3)."
"APE2..TPT"	6.098314	4.185246	5.233391	4.094394	5.201553	5.121743	5.310228	8.252115	8.873993	8.531447	9.19087	9.393848	8.822755	9.677127	6.52435	6.329289	5.749247	6.751955	7.291102	6.587891	6.347317	6.765993	6.49601	5.878317	6.934371	6.738715	7.275988	7.544709	"mutant has Altered acclimation responses; Chloroplast Triose Phosphate Translocator, mutant has Altered acclimation responses; Chloroplast Triose Phosphate Translocator"
"FLS2"	5.5045488	3.7274212	1.1490782	0.1760524	0.1193461	1.1931751	1.9004844	2.0083939	5.2196496	5.3968839	6.1137519	4.9504907	5.2722684	5.5705702	2.2716948	1.4229277	3.0501934	1.2318136	2.2594829	1.7117992	1.0292786	4.9854415	4.7309203	3.787848	4.9814091	2.7740877	3.6989845	2.2449792	"Encodes a leucine-rich repeat serine/threonine protein kinase that is expressed ubiquitously. FLS2 is involved in MAP kinase signalling relay involved in innate immunity. Essential in the perception of flagellin, a potent elicitor of the defense response.  FLS2 is directed for degradation by the bacterial ubiquitin ligase AvrPtoB."
"CIPK19..SnRK3.5"	7.175283	7.766097	6.902664	7.881828	6.67368	7.222463	5.666096	6.477535	5.898547	6.648054	6.169831	5.766382	4.923644	4.683623	8.472947	10.026204	9.584673	8.082047	6.865963	6.665784	5.630437	6.996329	7.505385	8.39065	6.405815	6.977189	5.452945	4.739177	"Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.5), which has also been reported as a member of the CBL-interacting protein kinases (CIPK19)., Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.5), which has also been reported as a member of the CBL-interacting protein kinases (CIPK19)."
"ARAC2..ATRAC2..ATROP7..RAC2..ROP7"	6.036007	4.202688	2.718139	3.181301	3.22614	3.944982	4.002104	7.349927	5.493956	6.265918	6.453335	6.540651	5.843842	5.916395	8.215249	7.16311	6.81837	5.981743	6.492317	6.833014	6.887842	8.424406	9.334834	8.965034	9.225919	8.74903	9.07314	8.816674	"Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family., Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family., Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family., Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family., Encodes a Rac-like protein ARAC2.  A member of ROP GTPase gene family."
"AtNPF5.2..ATPTR3..NPF5.2..PTR3"	4.323675	4.384973	3.634778	3.492547	2.94691	4.055647	2.052386	9.745987	7.792565	9.188805	7.963351	7.090009	7.035717	6.712871	7.181635	5.548897	3.705834	3.353713	4.119508	3.564479	3.486351	7.619217	5.374216	4.912155	5.752895	5.231918	2.432087	3.244323	"Encodes a di- and tri-peptide transporter involved in responses to wounding, virulent bacterial pathogens, and high NaCl concentrations. The protein is predicted to have 12 transmembrane helicies., Encodes a di- and tri-peptide transporter involved in responses to wounding, virulent bacterial pathogens, and high NaCl concentrations. The protein is predicted to have 12 transmembrane helicies., Encodes a di- and tri-peptide transporter involved in responses to wounding, virulent bacterial pathogens, and high NaCl concentrations. The protein is predicted to have 12 transmembrane helicies., Encodes a di- and tri-peptide transporter involved in responses to wounding, virulent bacterial pathogens, and high NaCl concentrations. The protein is predicted to have 12 transmembrane helicies."
"ARAD2"	4.159779	4.566789	4.385989	5.013159	5.009799	4.715009	4.915807	3.861925	3.127	4.468939	4.506823	5.212782	4.846649	4.963455	3.587289	2.438094	5.149241	4.848112	4.765087	4.385046	3.453271	5.070204	3.512616	4.069939	4.009099	4.687407	4.239113	4.43387	"Encodes a putative arabinosyltransferase."
"EDA23..GSO2"	4.238008	4.252787	1.545636	4.70332	3.023061	3.359842	3.323834	6.380327	6.33476	6.544547	6.06716	5.314204	5.413649	5.361067	8.213099	9.183013	8.437766	8.666775	8.403747	6.932176	7.297801	6.596036	6.639946	6.499208	5.711746	6.000661	5.542492	5.355576	"Encodes GASSHO2 (GSO2), a putative leucine-rich repeat transmembrane-type receptor kinase.  GSO2 and a homolog GSO1 (At4g20140) are required for the formation of a normal epidermal surface during embryogenesis., Encodes GASSHO2 (GSO2), a putative leucine-rich repeat transmembrane-type receptor kinase.  GSO2 and a homolog GSO1 (At4g20140) are required for the formation of a normal epidermal surface during embryogenesis."
"PDLP1..PDLP1A"	4.904847	5.408352	4.354834	4.694629	4.588296	4.320081	4.744889	5.340949	5.955548	5.510066	4.955048	5.351621	5.568025	5.687084	6.6024	6.916249	6.609831	7.014786	6.876712	7.498572	7.451247	5.162402	6.42561	6.180512	5.749105	4.925527	5.724396	5.838553	"Encodes a plasmodesmal protein that affects the intercellular movement of molecules through the plasmodesmata. The cytoplasmic C-terminal portion of the protein is connected to the apoplastic N-terminal portion of the protein by a single transmembrane domain (TMD). It is transported to the plasmodesmata through the secretory pathway. PDLP1 has two DUF26 domains and a signal peptide, but the proper localization of the protein appears to depend on the TMD., Encodes a plasmodesmal protein that affects the intercellular movement of molecules through the plasmodesmata. The cytoplasmic C-terminal portion of the protein is connected to the apoplastic N-terminal portion of the protein by a single transmembrane domain (TMD). It is transported to the plasmodesmata through the secretory pathway. PDLP1 has two DUF26 domains and a signal peptide, but the proper localization of the protein appears to depend on the TMD."
