"feature"	"ontology"	"SVG"	"description"
"125"	"kidney"	"UBERON_0002113"	"homo_sapiens.female.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"126"	"renal_cortex"	"UBERON_0001225"	"homo_sapiens.female.svg"	"Outer cortical portion of the kidney, between the renal capsule and the renal medulla."
"127"	"coronary.artery"	"UBERON_0001621"	"homo_sapiens.female.svg"	"An artery that supplies the myocardium."
"128"	"submandibular_gland"	"UBERON_0001736"	"homo_sapiens.female.svg"	"Either of the paired compound tubuloalveolar (aka tubuloacinar) major salivary glands composed of both serous and mucous secretory cells and situated beneath the mandible."
"129"	"tricuspid_valve"	"UBERON_0002134"	"homo_sapiens.female.svg"	"An atrioventricular valve that is part of the outflow part of the right atrium."
"130"	"thyroid_gland"	"UBERON_0002046"	"homo_sapiens.female.svg"	"A two-lobed endocrine gland found in all vertebrates, located in front of and on either side of the trachea in humans, and producing various hormones, such as triiodothyronine and calcitonin[BTO]."
"131"	"skin"	"UBERON_0000014"	"homo_sapiens.female.svg"	"Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis."
"132"	"cerebral_cortex"	"UBERON_0000956"	"homo_sapiens.male.svg"	"The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon. It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex."
"133"	"pleura"	"UBERON_0000977"	"homo_sapiens.male.svg"	"The invaginated serous membrane that surrounds the lungs (the visceral portion) and lines the walls of the pleural cavity (parietal portion)."
"134"	"brain"	"UBERON_0000955"	"homo_sapiens.male.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"135"	"heart"	"UBERON_0000948"	"homo_sapiens.male.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"136"	"breast"	"UBERON_0000310"	"homo_sapiens.male.svg"	"The upper ventral region of the torso of an organism."
"137"	"thyroid_gland"	"UBERON_0002046"	"homo_sapiens.male.svg"	"A two-lobed endocrine gland found in all vertebrates, located in front of and on either side of the trachea in humans, and producing various hormones, such as triiodothyronine and calcitonin[BTO]."
"138"	"adrenal_gland"	"UBERON_0002369"	"homo_sapiens.male.svg"	"Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine[BTO]."
"139"	"lymph_node"	"UBERON_0000029"	"homo_sapiens.male.svg"	"Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph."
"140"	"bone_marrow"	"UBERON_0002371"	"homo_sapiens.male.svg"	"the soft tissue that fills the cavities of bones"
"141"	"adipose_tissue"	"UBERON_0001013"	"homo_sapiens.male.svg"	"Portion of connective tissue composed of adipocytes enmeshed in areolar tissue"
"142"	"skeletal_muscle"	"UBERON_0001134"	"homo_sapiens.male.svg"	"Muscle tissue that consists primarily of skeletal muscle fibers."
"143"	"leukocyte"	"CL_0000738"	"homo_sapiens.male.svg"	"An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."
"144"	"UBERON_0000178"	"UBERON_0000178"	"homo_sapiens.male.svg"	"A fluid that is composed of blood plasma and erythrocytes."
"145"	"frontal_cortex"	"UBERON_0001870"	"homo_sapiens.male.svg"	"Anterior portion of the neocortex, lying anterior to the central sulcus in humans. It is bounded by the parietal cortex posteriorly and the temporal cortex laterally[NIFSTD,modified]."
"146"	"temporal_lobe"	"UBERON_0001871"	"homo_sapiens.male.svg"	"Lower lateral part of the cerebral hemisphere. (MSH)"
"147"	"prefrontal_cortex"	"UBERON_0000451"	"homo_sapiens.male.svg"	"The anterior part of the frontal lobes of the brain, lying in front of the motor and premotor areas.nnThis brain region has been implicated in planning complex cognitive behaviors, personality expression, decision making and moderating correct social behavior. The basic activity of this brain region is considered to be orchestration of thoughts and actions in accordance with internal goals.nnThe most typical psychological term for functions carried out by the pre-frontal cortex area is executive function. Executive function relates to abilities to differentiate among conflicting thoughts, determine good and bad, better and best, same and different, future consequences of current activities, working toward a defined goal, prediction of outcomes, expectation based on actions, and social 'control' (the ability to suppress urges that, if not suppressed, could lead to socially-unacceptable outcomes).nnMany authors have indicated an integral link between a person's personality and the functions of the prefrontal cortex. - definition adapted from Wikipedia"
"148"	"pituitary_gland"	"UBERON_0000007"	"homo_sapiens.male.svg"	"The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands [GO]. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin [ZFIN]."
"149"	"atrial_appendage"	"UBERON_0006618"	"homo_sapiens.male.svg"	"A small conical pouch projections located on the upper anterior portion of each atrium of the heart."
"150"	"aorta"	"UBERON_0000947"	"homo_sapiens.male.svg"	"The main trunk of the systemic arterial system that carries blood from the heart to all the organs and other structures of the body, bringing oxygenated blood to all parts of the body in the systemic circulation"
"151"	"coronary_artery"	"UBERON_0001621"	"homo_sapiens.male.svg"	"An artery that supplies the myocardium."
"152"	"gastroesophageal_junction"	"UBERON_0007650"	"homo_sapiens.male.svg"	"The junction between the esophagus and the stomach epithelium"
"153"	"left_ventricle"	"UBERON_0002084"	"homo_sapiens.male.svg"	"A cardiac ventricle that is in the left side of the heart."
"154"	"hippocampus"	"UBERON_0002421"	"homo_sapiens.male.svg"	"Hippocampus (proper) plus dentate gyrus and subiculum[definition derived from NIF comments and ontology alignment]."
"155"	"caecum"	"UBERON_0001153"	"homo_sapiens.male.svg"	"A pouch in the digestive tract that connects the ileum with the ascending colon of the large intestine. It is separated from the ileum by the ileocecal valve, and is the beginning of the large intestine. It is also separated from the colon by the cecocolic junction."
"156"	"ileum"	"UBERON_0002116"	"homo_sapiens.male.svg"	"the portion of the small intestine that extends from the jejunum to the colon"
"157"	"rectum"	"UBERON_0001052"	"homo_sapiens.male.svg"	"the terminal portion of the intestinal tube, terminating with the anus"
"158"	"nose"	"UBERON_0000004"	"homo_sapiens.male.svg"	"The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity."
"159"	"tongue"	"UBERON_0001723"	"homo_sapiens.male.svg"	"A muscular organ in the floor of the mouth."
"160"	"left_atrium"	"UBERON_0002079"	"homo_sapiens.male.svg"	"A cardiac atrium that is in the left side of the heart. It receives oxygenated blood from the pulmonary veins, In mammals this is pumped into the left ventricle, via the Mitral valve."
"161"	"pulmonary_valve"	"UBERON_0002146"	"homo_sapiens.male.svg"	"the semilunar valve of the heart that lies between the right ventricle and the pulmonary artery."
"162"	"mitral_valve"	"UBERON_0002135"	"homo_sapiens.male.svg"	"An atrioventricular valve that is part of the outflow part of the left atrium."
"163"	"penis"	"UBERON_0000989"	"homo_sapiens.male.svg"	"A intromittent organ in certain biologically male organisms. In placental mammals, this also serves as the organ of urination"
"164"	"vas_deferens"	"UBERON_0001000"	"homo_sapiens.male.svg"	"A secretory duct that transports sperm from the testis. In mammals this is a continuation of the epididymis and ends in the prostatic urethra where it terminates to form ejaculatory duct"
"165"	"seminal_vesicle"	"UBERON_0000998"	"homo_sapiens.male.svg"	"Either of a pair of glandular pouches that lie one on either side of the male reproductive tract posterolateral to the urinary bladder and in the human male secrete a sugar- and protein-containing fluid into the ejaculatory duct."
"166"	"testis"	"UBERON_0000473"	"homo_sapiens.male.svg"	"A gonad of a male animal. A gonad produces and releases sperm."
"167"	"epididymis"	"UBERON_0001301"	"homo_sapiens.male.svg"	"the elongated structure connected to the posterior surface of the testis that transports, stores, and matures spermatozoa between testis and vas deferens"
"168"	"eye"	"UBERON_0000970"	"homo_sapiens.male.svg"	"An organ that detects light."
"169"	"UBERON_0000966"	"UBERON_0000966"	"homo_sapiens.male.svg"	"The retina is the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates."
"170"	"nasal_septum"	"UBERON_0001706"	"homo_sapiens.male.svg"	"The nasal septum separates the left and right airways in the nose, dividing the two nostrils. It is depressed by the Depressor septi nasi muscle. [WP,unvetted]."
"171"	"oral_cavity"	"UBERON_0000167"	"homo_sapiens.male.svg"	"Anatomical cavity at the start of the digestive tract that that is enclosed by the mouth. The boundaries and contents vary depending on the species. In vertebrates, the boundaries are the oral opening, the cheeks, the palate and (if present) the palatoglossal arch - if this is not present then the mouth and pharynx form the oropharyngeal cavity. The buccal cavity contains the teeth, tongue and palate (when present)"
"172"	"tonsil"	"UBERON_0002372"	"homo_sapiens.male.svg"	"either of the two small almond-shaped masses of lymph tissue found on either side of the oropharynx"
"173"	"nasal_pharynx"	"UBERON_0001728"	"homo_sapiens.male.svg"	"the section of the pharynx that lies above the soft palate"
"174"	"lung"	"UBERON_0002048"	"homo_sapiens.male.svg"	"Respiration organ that develops as an oupocketing of the esophagus."
"175"	"spinal_cord"	"UBERON_0002240"	"homo_sapiens.male.svg"	"Part of the central nervous system located in the vertebral canal continuous with and caudal to the brain; demarcated from brain by plane of foramen magnum. It is composed of an inner core of gray matter in which nerve cells predominate, and an outer layer of white matter in which myelinated nerve fibers predominate, and surrounds the central canal. (CUMBO)"
"176"	"amygdala"	"UBERON_0001876"	"homo_sapiens.male.svg"	"Subcortical brain region lying anterior to the hippocampal formation in the temporal lobe and anterior to the temporal horn of the lateral ventricle in some species. It is usually subdivided into several groups. Functionally, it is not considered a unitary structure (MM)."
"177"	"trachea"	"UBERON_0003126"	"homo_sapiens.male.svg"	"The trachea is the portion of the airway that attaches to the bronchi as it branches [GO:dph]."
"178"	"throat"	"UBERON_0000341"	"homo_sapiens.male.svg"	"In anatomy, the throat is the anterior part of the neck, in front of the vertebral column. It consists of the pharynx and larynx. An important feature of the throat is the epiglottis, a flap which separates the esophagus from the trachea and prevents inhalation of food or drink. The throat contains various blood vessels, various pharyngeal muscles, the trachea (windpipe) and the esophagus. The hyoid bone and the clavicle are the only bones located in the throat of mammals. It is sometimes considered a synonym for fauces. [WP,unvetted]."
"179"	"bronchus"	"UBERON_0002185"	"homo_sapiens.male.svg"	"the upper conducting airways of the lung; these airways arise from the terminus of the trachea"
"180"	"tricuspid_valve"	"UBERON_0002134"	"homo_sapiens.male.svg"	"An atrioventricular valve that is part of the outflow part of the right atrium."
"181"	"diaphragm"	"UBERON_0001103"	"homo_sapiens.male.svg"	"A thin musculomebranous barrier that separates the abdominal and thoracic cavities. Often used for breathing control"
"182"	"liver"	"UBERON_0002107"	"homo_sapiens.male.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"183"	"stomach"	"UBERON_0000945"	"homo_sapiens.male.svg"	"An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium."
"184"	"spleen"	"UBERON_0002106"	"homo_sapiens.male.svg"	"the organ that functions to filter blood and to store red corpuscles and platelets"
"185"	"duodenum"	"UBERON_0002114"	"homo_sapiens.male.svg"	"The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one)."
"186"	"gall_bladder"	"UBERON_0002110"	"homo_sapiens.male.svg"	"An organ that aids digestion and stores bile produced by the liver[WP]."
"187"	"pancreas"	"UBERON_0001264"	"homo_sapiens.male.svg"	"An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating enzymes[GO]."
"188"	"colon"	"UBERON_0001155"	"homo_sapiens.male.svg"	"Last portion of the large intestine before it becomes the rectum."
"189"	"small_intestine"	"UBERON_0002108"	"homo_sapiens.male.svg"	"Subdivision of digestive tract that connects the stomach to the large intestine and is where much of the digestion and absorption of food takes place (with the exception of ruminants). The mammalian small intestine is long and coiled and can be differentiated histologically into: duodenum, jejunem, ileum[WP,cjm,Kardong]."
"190"	"appendix"	"UBERON_0001154"	"homo_sapiens.male.svg"	"A blind-ended tube connected to the cecum, from which it develops embryologically[WP]."
"191"	"smooth_muscle"	"UBERON_0001135"	"homo_sapiens.male.svg"	"Muscle tissue which is unstriated, composed primarily of smooth muscle fibers surrounded by a reticulum of collagen and elastic fibers. Smooth muscle differs from striated muscle in the much higher actin/myosin ratio, the absence of conspicuous sarcomeres and the ability to contract to a much smaller fraction of its resting length[GO]."
"192"	"urinary_bladder"	"UBERON_0001255"	"homo_sapiens.male.svg"	"distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion[MP]."
"193"	"prostate_gland"	"UBERON_0002367"	"homo_sapiens.male.svg"	"The prostate gland is a partly muscular, partly glandular body that is situated near the base of the mammalian male urethra and secretes an alkaline viscid fluid which is a major constituent of the ejaculatory fluid."
"194"	"nerve"	"UBERON_0001021"	"homo_sapiens.male.svg"	"An enclosed, cable-like bundle of axons in the peripheral nervous system originating in a nerve root in the central nervous system (or a condensed nervous structure) connecting with peripheral structures."
"195"	"cerebellum"	"UBERON_0002037"	"homo_sapiens.male.svg"	"Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement[MESH]. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe[BTO]. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance[ZFA]."
"196"	"cerebellar_hemisphere"	"UBERON_0002245"	"homo_sapiens.male.svg"	"A paired regions of the cerebellum that lie outside and lateral to the central vermis[MP]. The cerebellum consists of three parts, a median and two lateral, which are continuous with each other, and are substantially the same in structure. The median portion is constricted, and is called the vermis, from its annulated appearance which it owes to the transverse ridges and furrows upon it; the lateral expanded portions are named the hemispheres. The lateral hemisphere is considered the portion of the cerebellum to develop most recently. [WP,unvetted]."
"197"	"kidney"	"UBERON_0002113"	"homo_sapiens.male.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"198"	"renal_cortex"	"UBERON_0001225"	"homo_sapiens.male.svg"	"Outer cortical portion of the kidney, between the renal capsule and the renal medulla."
"199"	"bone"	"UBERON_00024818"	"homo_sapiens.male.svg"	NA
"200"	"cartilage"	"UBERON_0007844"	"homo_sapiens.male.svg"	"Skeletal element that is composed of cartilage tissue and may be permanent or transient."
"201"	"esophagus"	"UBERON_0001043"	"homo_sapiens.male.svg"	"Tube that connects the pharynx to the stomach. In mammals, the oesophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinised epithelium lining the buccal cavity is continued through the pharynx down into the oesophagus. The lowest part of the oesophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the oesophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the oesophagus enters the stomach to prevent gastro-oesophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the oesophagus, where they can cause inflammation and irritation (Wilson and Washington, 1989; Brown et al., 1993)."
"202"	"salivary_gland"	"UBERON_0001044"	"homo_sapiens.male.svg"	"saliva-secreting exocrine glands of the oral cavity[GO]"
"203"	"parotid_gland"	"UBERON_0001831"	"homo_sapiens.male.svg"	"The parotid gland is the largest of the salivary glands. It is found wrapped around the mandibular ramus, and it secretes saliva through Stensen's duct into the oral cavity, to facilitate mastication and swallowing. [WP,unvetted]."
"204"	"submandibular_gland"	"UBERON_0001736"	"homo_sapiens.male.svg"	"Either of the paired compound tubuloalveolar (aka tubuloacinar) major salivary glands composed of both serous and mucous secretory cells and situated beneath the mandible."
"205"	"skin"	"UBERON_0000014"	"homo_sapiens.male.svg"	"Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis."
"206"	"caryopsis"	"PO_0009001"	"hordeum_vulgare.flower_parts.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a gynoecium (PO:0009062), or a single carpel (PO:0009030), and at maturity may have as parts one or more seeds (PO:0009010)."
"207"	"plant_embryo"	"PO_0009009"	"hordeum_vulgare.flower_parts.svg"	"A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631)."
"208"	"pistil"	"PO_0009030"	"hordeum_vulgare.flower_parts.svg"	"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
"209"	"stigma"	"PO_0009073"	"hordeum_vulgare.flower_parts.svg"	"A cardinal organ part (PO:0025001), usually apical, that is part of a carpel (PO:0009030) or group of fused carpels on which the pollen (PO:0025281) germinates."
"210"	"plant.ovary"	"PO_0009072"	"hordeum_vulgare.flower_parts.svg"	"A plant structure (PO:0009011) that is the basal portion of a carpel (PO:0009030) or group of fused carpels (gynoecium; PO:0009062) and encloses the plant ovule(s) (PO:0020003)."
"211"	"anther"	"PO_0009066"	"hordeum_vulgare.flower_parts.svg"	"A collective plant organ structure (PO:0025007) that is the pollen-bearing part of a stamen (PO:0009029)."
"212"	"internode"	"PO_0020142"	"hordeum_vulgare.whole_plant.svg"	"A shoot axis internode (PO:0005005) that is part of a stem (PO:0009047)."
"213"	"inflorescence"	"PO_0009049"	"hordeum_vulgare.whole_plant.svg"	"A reproductive shoot system (PO:0025082) that has as parts all of the shoot axes (PO:0025029) and flowers (PO:0009046; must have two or more) distal to the most distal leaf (PO:0009025)."
"214"	"root"	"PO_0009005"	"hordeum_vulgare.whole_plant.svg"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."
"215"	"leaf"	"PO_0025034"	"hordeum_vulgare.whole_plant.svg"	"A phyllome (PO:0006001) that is not associated with a reproductive structure."
"216"	"shoot"	"PO_0009006"	"hordeum_vulgare.whole_plant.svg"	"A collective plant organ structure (PO:0025007) that produces shoot-borne portions of meristem tissue (PO:0009013) and the plant structures (PO:0009011) that arise from them."
"217"	"brain"	"UBERON_0000955"	"macaca_mulatta.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"218"	"prefrontal.cortex"	"UBERON_0000451"	"macaca_mulatta.svg"	"The anterior part of the frontal lobes of the brain, lying in front of the motor and premotor areas.nnThis brain region has been implicated in planning complex cognitive behaviors, personality expression, decision making and moderating correct social behavior. The basic activity of this brain region is considered to be orchestration of thoughts and actions in accordance with internal goals.nnThe most typical psychological term for functions carried out by the pre-frontal cortex area is executive function. Executive function relates to abilities to differentiate among conflicting thoughts, determine good and bad, better and best, same and different, future consequences of current activities, working toward a defined goal, prediction of outcomes, expectation based on actions, and social 'control' (the ability to suppress urges that, if not suppressed, could lead to socially-unacceptable outcomes).nnMany authors have indicated an integral link between a person's personality and the functions of the prefrontal cortex. - definition adapted from Wikipedia"
"219"	"cerebellum"	"UBERON_0002037"	"macaca_mulatta.svg"	"Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement[MESH]. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe[BTO]. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance[ZFA]."
"220"	"heart"	"UBERON_0000948"	"macaca_mulatta.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"221"	"kidney"	"UBERON_0002113"	"macaca_mulatta.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"222"	"liver"	"UBERON_0002107"	"macaca_mulatta.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"223"	"testis"	"UBERON_0000473"	"macaca_mulatta.svg"	"A gonad of a male animal. A gonad produces and releases sperm."
"224"	"brain"	"UBERON_0000955"	"monodelphis_domestica.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"225"	"cerebellum"	"UBERON_0002037"	"monodelphis_domestica.svg"	"Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement[MESH]. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe[BTO]. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance[ZFA]."
"226"	"title3367"	"UBERON_0000948"	"monodelphis_domestica.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"227"	"kidney"	"UBERON_0002113"	"monodelphis_domestica.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"228"	"liver"	"UBERON_0002107"	"monodelphis_domestica.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"229"	"testis"	"UBERON_0000473"	"monodelphis_domestica.svg"	"A gonad of a male animal. A gonad produces and releases sperm."
"230"	"medulla.oblongata"	"UBERON_0001896"	"mus_musculus.brain.svg"	"Organ component of neuraxis that has as its parts the medullary reticular formation, inferior olivary complex and cochlear nuclear complex, among other structures[FMA]. The medulla oblongata lies directly above the spinal cord and controls vital autonomic functions such as digestion, breathing and the control of heart rate[GO]."
"231"	"cerebral.cortex"	"UBERON_0000956"	"mus_musculus.brain.svg"	"The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon. It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex."
"232"	"corpus.striatum"	"UBERON_0000369"	"mus_musculus.brain.svg"	"The corpus striatum (striated body) is a compound structure consisting of the caudate nucleus and the lentiform nucleus, which consists of the putamen and the globus pallidus[WP]."
"233"	"diencephalon"	"UBERON_0001894"	"mus_musculus.brain.svg"	"The division of the forebrain that develops from the foremost primary cerebral vesicle."
"234"	"pituitary.gland"	"UBERON_0000007"	"mus_musculus.brain.svg"	"The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands [GO]. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin [ZFIN]."
"235"	"hippocampus"	"EFO_0000530"	"mus_musculus.brain.svg"	NA
"236"	"cerebellum"	"UBERON_0002037"	"mus_musculus.brain.svg"	"Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement[MESH]. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe[BTO]. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance[ZFA]."
"237"	"brainstem"	"UBERON_0002298"	"mus_musculus.brain.svg"	"Stalk-like part of the brain that includes amongst its parts the medulla oblongata of the hindbrain and the tegmentum of the midbrain[ZFA,MP,generalized]."
"238"	"midbrain"	"UBERON_0001891"	"mus_musculus.brain.svg"	"The midbrain is the middle division of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes a ventral part containing the cerebral peduncles and a dorsal tectum containing the corpora quadrigemina and that surrounds the aqueduct of Sylvius connecting the third and fourth ventricles)[GO]."
"239"	"dorsal.plus.ventral.thalamus"	"UBERON_0001897"	"mus_musculus.brain.svg"	"Subcortical brain region consisting of paired gray matter bodies in the dorsal diencephalon and forming part of the lateral wall of the third ventricle of the brain. The thalamus represents the major portion of the diencephalon and is commonly divided into cellular aggregates known as nuclear groups.(MeSH). The dorsal topographic division of the interbrain. The macrodissected adult human thalamus was clearly illustrated by Vesalius in 1543 and the term as defined here was introduced by His in 1893. It includes the traditional epithalamus, dorsal thalamus, and ventral thalamus of Herrick (1910, pp. 494, 498). Also see Kuhlenbeck (1927, Ch. 9) and Jones (1985, p. 87)."
"240"	"hypothalamus"	"UBERON_0001898"	"mus_musculus.brain.svg"	"A specialized brain region of the ventral diencephalon arising near the end of the segmentation period; the embryonic hypothalamic region will give rise to the posterior pituitary gland as well as a number of brain nuclei. [ZFA]. One of the most important functions of the hypothalamus is to link the nervous system to the endocrine system via the pituitary gland (hypophysis).[Wikipedia]."
"241"	"nose"	"UBERON_0000004"	"mus_musculus.brain.svg"	"The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity."
"242"	"corpora.quadrigemina"	"UBERON_0002259"	"mus_musculus.brain.svg"	"Either of the two pairs of colliculi on the dorsal surface of the midbrain composed of white matter externally and gray matter within, the superior pair containing correlation centers for optic reflexes and the inferior pair containing correlation centers for auditory reflexes[BTO]."
"243"	"aorta"	"UBERON_0000947"	"mus_musculus.female.svg"	"The main trunk of the systemic arterial system that carries blood from the heart to all the organs and other structures of the body, bringing oxygenated blood to all parts of the body in the systemic circulation"
"244"	"circulatory.system"	"UBERON_0001009"	"mus_musculus.female.svg"	"organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis[WP]."
"245"	"blood.vessel"	"UBERON_0001981"	"mus_musculus.female.svg"	"A vessel through which blood circulates in the body."
"246"	"brown.adipose.tissue"	"UBERON_0001348"	"mus_musculus.female.svg"	"A thermogenic form of adipose tissue that is composed of brown adipocytes[MP,modified]"
"247"	"white.adipose.tissue"	"UBERON_0001347"	"mus_musculus.female.svg"	"Connective tissue consisting of fat-storing cells and arranged in lobular groups or along minor blood vessels[MP,modified]"
"248"	"skin"	"UBERON_0000014"	"mus_musculus.female.svg"	"Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis."
"249"	"stomach"	"UBERON_0000945"	"mus_musculus.female.svg"	"An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium."
"250"	"duodenum"	"UBERON_0002114"	"mus_musculus.female.svg"	"The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one)."
"251"	"pancreas"	"UBERON_0001264"	"mus_musculus.female.svg"	"An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating enzymes[GO]."
"252"	"spleen"	"UBERON_0002106"	"mus_musculus.female.svg"	"the organ that functions to filter blood and to store red corpuscles and platelets"
"253"	"adrenal.gland"	"UBERON_0002369"	"mus_musculus.female.svg"	"Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine[BTO]."
"254"	"kidney"	"UBERON_0002113"	"mus_musculus.female.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
