"root_total__control"	"root_total__hypoxia"	"root_p35S__control"	"root_p35S__hypoxia"	"root_pSCR__control"	"root_pSCR__hypoxia"	"root_pSHR__control"	"root_pSHR__hypoxia"	"root_pWOL__control"	"root_pWOL__hypoxia"	"root_pGL2__control"	"root_pGL2__hypoxia"	"root_pSUC2__control"	"root_pSUC2__hypoxia"	"root_pSultr2.2__control"	"root_pCO2__control"	"root_pCO2__hypoxia"	"root_pPEP__control"	"root_pPEP__hypoxia"	"root_pRPL11C__control"	"root_pRPL11C__hypoxia"	"shoot_total__control"	"shoot_total__hypoxia"	"shoot_p35S__control"	"shoot_p35S__hypoxia"	"shoot_pGL2__control"	"shoot_pGL2__hypoxia"	"shoot_pRBCS__control"	"shoot_pRBCS__hypoxia"	"shoot_pSUC2__control"	"shoot_pSUC2__hypoxia"	"shoot_pSultr2.2__control"	"shoot_pCER5__control"	"shoot_pCER5__hypoxia"	"shoot_pKAT1__control"	"shoot_pKAT1__hypoxia"	"metadata"
"ADT5"	9.626547566	9.42839199033333	10.221207087	10.158909545	10.0601907005	9.898316415	10.492494555	10.0045520295	10.458110085	10.11335037	9.49523216633333	9.2170708785	9.1266054705	8.719373241	10.111454631	9.7503810795	9.465680481	9.5365299905	9.5587480525	10.642333025	9.7829536385	5.77579860033333	5.415944091	5.73014465	5.628524156	5.8532698885	5.837168141	5.0000722545	4.9166194855	5.314864629	5.112997047	6.9176970075	6.064934908	6.116687112	6.359304124	5.643085313	"chorismate mutase/prephenate dehydratase-like protein  ; supported by cDNA: gi_16604397_gb_AY058097.1_"
"ADG2.APL1"	4.80920843425	4.954012956	4.79304721066667	4.683910938	4.854817779	5.067668219	4.638131847	4.622810639	4.617631359	4.7767137075	4.725602282	4.916566498	4.810577301	5.0062639305	4.7247288235	4.7854462695	5.1829362825	5.587258544	5.6353342235	4.7867945215	4.790535399	9.0517311	9.547312777	8.570729012	8.714832415	8.597657575	8.300398664	9.2895928455	9.096655834	7.7762317215	8.2394492745	9.080832577	7.011473067	7.995903493	9.587757619	9.578153243	"Glucose-1-phosphate adenylyltransferase (ApL1/adg2)  ; supported by cDNA: gi_2149020_gb_U72290.1_ATU72290"
"RHS18"	9.75700392975	8.28796888333333	7.587239037	6.44890667	8.8465653075	6.7014669615	8.8672282435	6.6988090305	8.740244479	7.0662205145	7.60391972266667	5.986806749	8.8258812425	6.9111589075	8.3926260135	9.280036224	7.2176637785	6.654166448	5.7819438575	7.1163005435	5.989228711	4.72978882833333	4.63224869833333	4.6294589985	4.6397623005	4.60275885	4.7271116395	4.6507907555	4.543176792	4.836604688	4.488988562	4.4607214195	4.6658001775	4.5711656075	4.531266979	4.3671400275	"peroxidase ATP14a homolog"
"SIED1"	6.058888371	6.03017207166667	5.81381404	6.1519797985	7.0259761545	6.816839726	6.0156820765	6.0387630365	6.085380362	5.8197943025	6.36092818933333	5.917089988	5.886044893	5.5335300935	5.6573672225	6.0926039385	6.069538808	6.066417465	6.5201893455	5.3726113465	5.670920342	9.34782233833333	8.43290865366667	10.22704452	9.371038135	11.09636859	10.144971235	9.6117396545	8.536280091	9.6789476845	8.953535122	11.121368295	12.13229545	11.58238436	9.9085546645	9.037016102	"putative protein similar to unknown protein (gb|AAF02129.1);supported by full-length cDNA: Ceres:35419."
"ROXY10"	5.384968879	5.42026070133333	5.39681925966667	5.580883754	5.313437159	5.3197210745	5.359696685	5.334058376	5.3249696365	5.1801095975	5.27739118566667	5.3902826965	6.058531736	5.8601749265	5.3584911815	5.285678449	5.2042358545	5.409006127	5.441591976	5.3097927715	5.3371117365	9.84694444766667	9.647722709	10.63466684	10.70255939	11.30437774	11.45691529	10.35156173	10.283316095	14.511295365	14.34885237	12.30491863	6.7527501095	6.751201766	10.482795655	9.8020485035	"glutaredoxin -like protein glutaredoxin, castor bean, PIR:S54825;supported by full-length cDNA: Ceres:92720."
"DVR.PCB2"	5.499988825	5.62442809433333	6.58357137166667	7.0572202755	5.1565513615	5.793772334	6.482909746	6.074257418	6.235245635	5.7420459655	6.506634905	6.5892612465	6.6925908435	6.2280260435	6.8409258765	6.026797845	5.199341853	5.478679646	5.8350387025	6.88272901	6.7616947545	10.43389331	10.1373418076667	10.072519803	10.311558045	9.757836351	10.0042438615	10.458202185	10.406355605	9.490778684	10.124082856	10.331155495	8.69922113	9.162795045	10.576593225	10.31250307	"putative protein 2'-hydroxyisoflavone reductase (EC 1.3.1.45) - Nicotiana tabacum, PIR:T02202;supported by full-length cDNA: Ceres:17121."
"ENH1"	5.2377823235	5.562206649	5.95721574766667	6.29000137	5.5263692395	5.2967705715	5.5076873335	5.5247399275	5.554598254	5.8220313135	5.945013078	6.203404359	5.547564027	5.5877966735	5.9865626445	5.4928446935	5.3021122335	5.697737928	6.238309265	5.608277245	5.826735952	11.3335636633333	11.5060505633333	11.447137375	11.582624245	11.2716193	11.51781589	11.91323309	12.013186795	10.763974795	11.022823305	11.20846313	9.9581456275	10.407681525	11.39518918	11.49114479	"unknown protein  ; supported by cDNA: gi_14334891_gb_AY035119.1_"
"PCO1"	6.315939685	12.46126207	6.91599350433333	12.60799516	7.1119484535	12.97682618	7.1320763395	12.769270665	6.8945888005	12.906970865	7.15278448733333	12.44847494	6.1290297115	12.22988459	6.7459894415	6.404355519	12.44768579	5.9292364115	13.098535295	6.273021686	13.26227481	8.252952125	12.1220370066667	8.4639542655	12.34650861	8.665988754	12.545954115	8.969755401	12.001021965	6.8653859695	12.159542815	6.676375316	8.234778267	12.795074645	8.112665668	12.419736975	"putative protein predicted proteins, Arabidopsis thaliana and Drosophila melanogaster"
"PRX56"	8.09149454375	7.61201777333333	6.64958539533333	6.274255419	6.7600095665	5.6705706365	6.4745052755	6.237878033	6.1449959955	6.801981454	6.050895135	5.3090711375	6.570421545	5.9799572745	6.3160629435	6.5730928595	6.4484399655	9.807941586	9.762193552	6.3053520625	6.2464913055	4.34809679333333	4.41059246366667	4.4103801505	4.3597213025	4.3939263375	4.3069399355	4.310046967	4.3186046735	4.5576416355	4.2158802285	4.215337498	4.279411284	4.109788711	4.350665271	4.1465921155	"prx10 peroxidase - like protein prx10 peroxidase, Spinacia oleracea, EMBL:SOY16776"
"ATMIXTA.ATMYB16.MYB16"	4.464811344	4.61317101266667	4.65571526633333	4.6068419095	4.453299443	4.463689538	4.610040273	4.5491975475	4.4819653915	4.600540184	4.56342943466667	4.5856779885	4.6121768275	4.5197712545	4.5038772755	4.377706768	4.4761772205	4.690464984	4.719774654	4.4835447725	4.738761113	6.637595366	5.97831667266667	7.222833448	6.8597907505	7.477664397	7.503586813	6.430305904	6.2118062145	6.7399456485	5.7120630015	8.8164950565	9.073716844	8.5990311935	6.8846910285	6.5529731815	"myb-related protein - like myb-related protein 1, garden petunia, PIR:S26605"
"ABCG6"	9.3642631075	9.06321737366667	8.97598667766667	8.8439578625	11.46835365	10.776207505	8.941414919	8.5884332575	9.526405663	8.7895708605	8.911021076	8.877112342	9.393426793	8.8102544925	9.305803882	9.469249546	9.290195949	7.339985156	7.585545265	8.9599127345	8.086813114	5.389892967	5.298287651	5.4593199055	5.318754887	5.2258878975	5.5550738305	5.5932988725	5.056675008	4.8438061545	5.0554872085	5.215279153	5.0062122825	4.841216212	5.456576261	5.665612735	"ABC transporter-like protein"
"ABAR.CCH.CCH1.CHLH.GUN5"	6.53692940625	6.58260474866667	5.94655651533333	5.6237188535	6.0967556835	5.8753519075	6.288274756	6.4832811215	6.830744385	6.452091602	6.89063450866667	7.022825196	7.4090471875	6.369626007	7.5821969835	6.9037720575	6.5732752505	9.3523532235	8.2650948085	6.6663328985	5.0525043875	12.1854861566667	12.04812817	11.24851671	11.122072975	11.09415834	11.21307967	11.69739787	11.31943098	11.503362515	11.64981836	11.655239485	10.572755525	10.965001705	11.736043085	11.854873205	"cobalamin biosynthesis protein"
"SIG4.SIGD"	4.12925583325	4.27049597466667	4.27738768933333	4.3019000755	4.2412271465	4.258719051	4.206706925	4.188338038	4.129791944	4.2016929415	4.34385488266667	4.437502689	4.3289580905	4.2506521505	4.1940575785	4.049065244	4.2121331545	4.2713206995	4.2285948685	4.247334373	4.381624685	9.031706724	9.43517665833333	8.9152095745	9.593480968	8.7248738845	9.160471654	9.7261966045	10.186872475	6.5581040865	7.538190144	9.2465804265	7.4887850185	8.3109323455	9.847466678	10.53112255	"sigma-like factor (gb|AAC97954.1)  ; supported by cDNA: gi_3983259_gb_AF101075.1_AF101075"
"ANN7.ANNAT7"	8.40313631425	8.71074978666667	8.09274063466667	8.231059687	10.89465643	11.46471501	7.300172469	8.7701581045	7.9624271055	9.330374147	7.84654773566667	7.7412627585	7.5730630095	8.523061731	7.22734881	8.1145619135	9.0956946035	5.937818662	7.4677429475	7.920252911	8.6441586555	4.690137148	4.469063807	4.4844566485	4.348355057	4.4352401655	4.479536571	4.3716330345	4.4493580855	4.7624525745	4.812602137	4.4215160255	4.366723317	4.318037811	4.443118872	4.4746801015	"annexin -like protein annexin (AnnAt2), Arabidopsis thaliana, EMBL:AF083914; supported by cDNA: gi_12667521_gb_AY014799.1_"
"PMDH2"	5.71827646775	5.687938689	6.167261302	6.298397072	6.107224731	5.6662278115	5.713501707	6.0179426655	5.701776601	5.372906741	5.978822161	6.389454507	5.8075424365	5.884685238	6.0648173745	5.7871151745	5.6004395985	5.8227482865	5.9448471045	5.83643034	5.8832930345	12.78294182	12.9566533333333	12.235693455	12.641962205	11.63042853	11.74663999	12.69056387	12.76699508	10.613165165	11.339936925	12.189797545	10.58124482	10.99321073	12.134166305	12.81406211	"microbody NAD-dependent malate dehydrogenase  ; supported by cDNA: gi_14335145_gb_AY037252.1_"
"PELPK1.PRP10"	13.1288435	13.3961052266667	12.7384832833333	13.16084181	14.61599982	14.971752605	11.987491275	13.207239015	12.659875615	13.92304215	12.0784852	12.184659265	12.43584929	13.2154594	12.34677758	12.819277855	13.467134175	9.8885034935	11.49993438	12.70255819	13.01152082	7.52787833033333	7.338962991	6.2887909925	7.0537843165	5.568527098	5.9392902765	5.265856281	5.4092316355	5.7141472325	5.651792757	6.7732740995	5.1996847455	5.540015998	6.9989597185	8.2052491715	"periaxin - like protein periaxin, Rattus norvegicus, PIR:I58157; supported by cDNA: gi_15451135_gb_AY054648.1_"
"PELPK2"	8.841996884	8.23540915666667	9.10111654433333	8.490564302	11.205135095	11.46178679	7.717316617	8.1582190425	8.2698174145	8.7994098005	7.82430774566667	7.1263772285	7.54226206	6.959764017	7.2174068255	8.7011906645	7.7742114805	5.627240973	6.244669336	8.12125473	7.3662686845	4.44123429533333	4.21588381033333	4.63182571	4.4073365055	4.2664642445	4.249328746	4.410283752	4.133728932	4.209852352	4.221658536	4.495427153	4.240616874	4.2220890415	4.671918267	4.3096517125	"putative proline-rich protein surface protein C PspC, Streptococcus pneumoniae, EMBL:AF145055"
"ATPGIP2.PGIP2"	4.56443827475	4.57516135466667	4.57156534133333	4.761459209	4.405737132	4.572066239	4.5760192525	4.840772572	4.455462328	4.559659455	4.73869847266667	4.5065631555	4.769788815	4.633539796	4.5218818865	4.5755525935	4.806131563	4.7025342535	4.784453316	4.689923421	4.6609697445	7.386346348	6.99852263	7.392537619	7.5716587195	8.159406096	7.9970253085	7.0257899045	7.652917626	7.826890574	7.4623758675	8.529180475	7.656292876	7.578276715	7.3318203055	7.5481622095	"polygalacturonase inhibiting protein  ;supported by full-length cDNA: Ceres:35527."
"AtPRPL1.MOP10.PRPL1"	9.62569713325	8.53094251033333	7.84837237566667	7.477754278	8.261303396	7.2622504505	8.1476498505	7.1952312435	8.9111160395	7.959064446	7.28458386833333	6.5439861905	8.3794663725	6.9303420065	7.9792851755	9.169895329	7.431445308	6.761539013	5.9336104235	7.1717718025	6.7027085795	5.03983852133333	4.66813196466667	4.6538280015	4.6146794425	4.5864001085	4.4110292875	4.5990945025	4.825141795	4.6510384445	4.727397029	4.625942384	4.723092938	4.583874622	4.6332041755	4.4913906495	"unknown protein ;supported by full-length cDNA: Ceres:255541."
"PME46"	10.579701185	9.64875309666667	8.279568243	7.584085148	9.351419097	8.4162833655	9.0354958815	8.2031638335	9.5780712285	8.451325795	8.657553739	8.3863630665	9.581920987	8.366632441	9.410192769	9.9438743035	8.399707654	7.695232374	7.349171157	7.9605681005	7.240327778	4.69163985266667	5.686288722	4.772815647	5.324409349	4.6122651955	4.7163496605	4.7257605155	4.77918189	4.80299588	4.7609471225	4.56976408	4.888647581	4.848103698	4.6907285525	4.879980455	"pectinesterase"
"TFL.1.TFL1"	7.5008837575	7.488090896	9.486341554	9.4483957905	6.8520510425	6.95573065	8.1240682355	7.7809174175	9.126606517	8.372582523	10.8565096666667	10.238003455	12.108137465	11.164562105	10.518046525	8.478030055	7.2751180095	8.2676261215	8.111697275	9.3567773655	8.8384817295	5.110431531	5.07920214	5.3323779695	5.573230522	5.454967772	5.558536822	5.289452697	4.954185562	6.464464809	6.0361049255	5.2070204275	5.0618861365	5.2752699895	5.0525794875	5.05306715	"Terminal flower1 (TFL1) ; supported by cDNA: gi_1809126_gb_U77674.1_ATU77674"
"AthCYSTM12"	6.05510375625	6.65430949266667	8.5377125	8.310882065	4.8032537335	5.936046246	6.8489721585	7.715679797	7.507544476	8.335393361	9.585111947	9.387093233	11.34480399	10.9947788	9.762414271	6.0317342865	6.0635754045	6.946060987	7.231349167	7.484328982	7.482476776	4.492553478	4.81155565533333	5.2582342495	5.331699329	6.069454125	6.756888044	4.8787160045	5.1832798535	10.5462759	10.81604989	6.5995162265	4.033481103	4.0593845495	5.509938274	5.53847751	"putative protein"
"KCS19"	4.22905697	4.25906256066667	4.40753852866667	4.3545463155	4.257671396	4.1241549845	4.2180051805	4.117129647	4.153506291	4.097999066	4.28649176533333	4.2008305045	4.2889992715	4.109617774	4.186714423	4.178279071	4.109482027	4.227701185	4.356745387	4.152747369	4.130964429	9.294266888	7.564948234	8.8218770525	7.598448536	9.210658037	7.4783806745	8.082918453	6.4751199785	6.671794623	5.7723454045	9.780941521	11.15438175	9.1179577915	8.4055124285	6.3838091285	"fatty acid elongase - like protein KCS1 fatty acid elongase 3-ketoacyl-CoA synthase 1, Arabidopsis thaliana, EMBL:AF053345"
"OHP.OHP1.PDE335"	5.174773423	5.57891633866667	5.947712649	6.079257381	5.171516665	5.2061083305	5.7896771265	6.192342272	5.4143000855	6.0410725315	5.76564775733333	5.8550189455	4.9152470945	5.1916587605	5.5956534875	5.4048115795	5.080780937	5.9113177505	6.665744346	5.3844937525	5.5910049425	11.0811948133333	10.8310324866667	11.544364135	11.697082445	10.91577767	11.365164775	11.64506589	11.85335459	10.07824047	9.6557871695	11.263994085	9.4585674955	10.225875201	11.27430555	11.308849565	"one helix protein (OHP)  ;supported by full-length cDNA: Ceres:16704."
"FIP"	4.7316978155	4.847532711	5.10318234366667	5.2815638925	5.0029793885	4.8882686655	5.2564418115	4.924126146	4.8138017225	4.836975486	5.044886493	5.3564189705	4.6570402245	4.5943688435	5.0402316055	4.9101572315	4.883891434	5.0030295495	5.1613374935	4.886367748	4.7800068065	9.259876282	8.62182692733333	9.892674093	9.6856755355	8.8605472455	9.3864241255	10.23150127	10.3371092	9.320224198	8.2499541185	9.709528328	7.905601802	8.419819584	10.1796991995	10.1071284105	"putative protein  ; supported by cDNA: gi_13358223_gb_AF325034.2_AF325034"
"LHCB4.1"	6.813566239	6.74449171566667	7.65518020566667	7.2862498005	6.7519914465	6.293839126	7.649015466	7.173990993	7.674362315	6.9534587505	7.95543751433333	7.3921708605	7.083421948	6.8076943185	7.7159058505	7.083470696	6.7592883915	8.075288783	7.196256712	7.396836747	6.3879198785	13.6420239266667	13.17325754	13.051072485	13.048590465	12.50836628	12.548993735	13.39428575	13.04055871	12.90064447	12.790219975	13.041230955	11.564519425	12.036393025	13.242777385	13.2180896	"chlorophyll a/b-binding protein CP29  ; supported by cDNA: gi_15081738_gb_AY048262.1_"
"OEP6.OEP7.2"	5.6095914635	5.62698983766667	5.81575754933333	5.7343926015	5.760517837	5.529416549	5.4074888705	5.471440295	5.577138607	5.495737484	5.421181183	5.5055486035	5.5957150605	5.4968431305	5.546747981	5.3246034405	5.4038043355	5.6394477895	5.542348721	5.3847152085	5.846966109	11.4408348233333	11.37860576	11.68229973	11.801365825	10.846606445	11.1863501	11.73265782	12.152457035	9.1767894385	9.3623559475	11.256556285	8.4234088455	9.1297994925	11.55046913	12.062536555	"putative protein outer envelope membrane protein E 6.7 -  chloroplast Spinacia oleracea, PIR:A35958; supported by cDNA: gi_15724349_gb_AF412115.1_AF412115"
"CSP41A"	4.89933527075	4.60996351833333	5.183178623	5.0034702855	4.7374939045	4.8478270415	5.0435001265	5.0893789105	5.0475327415	4.973394964	5.465086501	5.654862893	5.036115088	4.748723855	5.2250988215	5.2237129545	5.115645811	5.059453164	5.182176597	5.14588845	5.321093558	12.4308458433333	12.3105241233333	11.476982445	11.95999718	11.2356383	11.57128094	12.12059124	12.1252915	10.37865592	10.82101914	12.13275319	10.117821725	10.847594525	12.306406085	12.68232136	"mRNA binding protein precursor - like mRNA binding protein precursor (chloroplast protein), Lycopersicon esculentum, EMBL:AF106660; supported by cDNA: gi_16226200_gb_AF428269.1_AF428269"
"GRXC11.ROXY4"	3.923764081	3.84338870466667	3.928308099	3.991145485	3.964437361	3.896909169	3.9476843985	3.899593152	3.9858849945	3.99915834	3.97187644533333	4.061144566	4.00630905	4.0584683095	3.9421119215	3.8056470745	3.892804418	4.008761971	4.0319849525	3.9113417495	4.06346671	4.58452886866667	4.28807293766667	5.080570635	4.7211706695	5.060485473	5.191219683	4.9591215965	4.446082889	11.478189255	10.824859885	6.809715458	3.980597414	4.0046778535	4.659949136	4.435664025	"glutaredoxin -like protein glutaredoxin, castor bean, PIR:S54825"
"CP12.CP12.2"	5.23077628925	5.470632973	5.35481263966667	5.5841198575	5.591115873	5.2827787715	5.231433869	5.557217133	5.2175775745	5.1735428445	5.562661711	5.9847816995	5.1885739605	5.5930920705	5.342365633	5.514837821	5.4416597065	5.39731521	6.012721779	4.812153794	5.154443557	10.2943395626667	11.69044323	10.953928005	11.768842025	11.14886988	11.80122311	11.55800118	11.943616405	8.901722693	10.514031	11.65765323	9.9223875	10.942476845	11.47979192	11.99725726	"CP12 protein precursor-like protein CP12 protein precursor, chloroplast - Pisum sativum,PIR:T06562;supported by full-length cDNA: Ceres:2721."
"ATPRP3.PRP3"	11.8218717325	10.4841545043333	9.83653001033333	9.3762184515	10.88399521	9.882457847	10.935417825	9.87639622	10.86623858	10.0053702315	10.3805060366667	9.6058778705	11.115738975	9.747241598	10.913166045	11.57336424	10.32114482	9.1287070025	8.4082772775	9.304143974	8.456721183	5.543705293	5.134640302	4.892235413	5.145606022	5.1154043825	5.1103655035	5.278543948	5.282691937	5.2688772085	5.2915255825	5.0504285545	4.7576458555	5.0507145715	5.2817366965	5.299684048	"proline-rich protein proline-rich protein precursor - Glycine max, PIR:A29324"
"A.PUT2.bHLHb1.PIF5.PIL6"	4.09266781875	4.16127274333333	4.18554790833333	4.1310688575	4.03756863	4.188180247	4.1644719295	4.042382943	4.1912073205	3.970974075	4.20293048066667	4.2701621785	4.1521067675	4.042970494	4.0747528685	4.0340590985	4.0583474335	4.24098765	4.1832770615	4.1538861425	4.2902774375	7.15258336	6.305298253	7.576558575	6.622608788	7.586435863	7.1788224505	7.5722053555	6.6619090785	9.2044257785	9.3621217685	8.32136614	8.2582835145	7.597275359	7.4500634935	6.221340927	"putative protein phytochrome-associated protein 3 - Arabidopsis thaliana, EMBL:AF088280"
"GUN4"	4.44759185775	4.63007064133333	4.65933112766667	4.638462707	4.251495361	4.387913074	4.4306523175	4.479047564	4.417086426	4.524542571	4.75086909833333	4.6630874035	4.296613579	4.5171123045	4.541673663	4.537708667	4.536173376	4.7400270655	5.051867573	4.0541160305	4.968925836	10.5326309966667	10.1583750333333	10.622200305	10.50625698	9.826542681	10.17599388	10.93103857	10.746308335	9.6147879285	10.53340523	10.851407985	8.9876758875	9.186612649	10.6269942	10.40874793	"putative protein hypothetical protein 238 - Porphyra purpurea, PIR:S73123"
"ATMTP3.ATMTPA2.MTP3.MTPA2"	9.45654982275	9.00355849866667	8.07188394033333	7.762257797	7.7027391975	7.6417396625	7.00072519	7.4128684605	8.23059884	8.0696276665	8.44400611233333	8.200109687	8.716790673	8.2850307455	8.6012551015	9.008410563	8.4711853535	9.628708105	8.927842786	8.1580626345	7.8927746045	4.98208031966667	4.69594604033333	4.558467134	4.6403992145	4.5829162665	4.593073673	4.4917186945	4.665048538	4.876605261	4.791624956	4.6106469335	4.824231077	4.7151684485	5.1838864265	4.8940017075	"zinc transporter -like protein zinc transporter ZAT, Arabidopsis thaliana, EMBL:AF072858"
"ZRK7"	4.4276071085	4.45950658633333	4.51205183966667	4.774796385	4.4349071415	4.5307691405	4.575009202	4.5007299765	4.4156167985	4.2903386095	4.548389394	4.719408299	4.4291797225	4.5987706045	4.3820062775	4.570444346	4.490505831	4.609553776	4.550145789	4.3332066725	4.685350164	7.65438762233333	7.65364407766667	7.667290834	7.87254404	7.7567157205	7.8341447795	7.956331648	8.1000561365	6.577944671	6.806675166	8.17374831	8.5781835215	8.081582064	7.9776855525	7.6715039455	"protein kinase - like protein wall-associated kinase 4, Arabidopsis thaliana, AJ009695"
"ACSF.CHL27.CRD1"	6.33919942475	6.48749953333333	7.34085683566667	7.111338372	6.0289684745	5.902549701	6.4401457585	6.685951274	6.5858964335	6.3213496145	7.316089624	6.8250624985	6.535259808	6.4132564865	7.219357353	7.004699454	6.3997468625	8.0054018735	7.462226265	7.1296651335	6.6365990815	12.06550884	11.8994354933333	11.85129403	11.909450935	11.598706825	11.684226835	11.91395511	11.94351286	11.537336515	11.495906325	11.8620601	11.07065041	11.011655925	11.727640305	11.90097975	"leucine zipper-containing protein AT103  ; supported by cDNA: gi_1033194_gb_U38232.1_ATU38232"
"SBPASE"	4.97514180075	5.27444834566667	5.52077342933333	5.781573826	5.1405712725	5.2856284725	5.1925707615	5.407881326	5.2289966535	5.2252780995	5.80273724233333	5.7385677195	5.2698246875	5.372567995	5.409633053	5.0455552085	4.800857326	5.1429905725	5.8645327495	5.191621615	5.435552121	12.7532936233333	12.6939721733333	12.284386105	12.50401601	11.65563348	12.051507385	12.360182275	12.65557921	10.542111045	11.44553961	12.21451457	10.30498728	11.127737815	12.284781	12.665307865	"sedoheptulose-bisphosphatase precursor  ; supported by cDNA: gi_15451177_gb_AY054669.1_"
"PPL1"	5.090037809	5.03464719866667	5.46526271366667	5.347010523	4.831638269	4.840841112	4.87690265	5.42373665	5.0415467955	4.8861892175	5.27238325766667	5.057394687	5.0556461375	4.798661495	5.3604656815	5.1106960655	4.879950969	4.8550652655	4.7838214895	5.10634869	5.2387634755	10.30691548	10.4924695133333	9.9737902035	10.34925632	9.3170219175	9.314130619	10.474993405	10.535065825	8.933695832	8.279777606	9.330632339	7.881277066	8.2799878395	9.571646757	9.6981559725	"putative protein photosystem II oxygen evolving complex protein 2 precursor (psbP), Fritillariaagrestis, EMBL:AF037458;supported by full-length cDNA: Ceres:21674., Ceres:3747."
"LHCA1"	5.73420668525	5.800054246	6.08454641333333	6.260265079	5.725376437	5.877761903	5.824681564	6.0418938245	5.68993708	5.905441992	6.227701429	6.093350646	6.5222247225	6.1591394645	6.4864666745	5.7247445155	5.7160624505	6.2678743575	6.009020998	5.471496297	5.368141689	12.8361118766667	12.4519134733333	12.253839235	12.23782943	11.76011581	11.725774755	12.500758365	12.212466875	13.000055425	12.90939512	12.07996897	10.69579946	11.331400245	12.241322355	12.324464105	"chlorophyll a/b-binding protein  ; supported by cDNA: gi_13265500_gb_AF324692.2_AF324692"
"cfbp1.HCEF1"	4.580437305	4.67182303233333	4.897919935	4.8622498275	4.733852784	4.776096274	4.67828221	4.743745091	4.6624254455	4.7932263955	4.75017536566667	4.896274417	4.5865690595	4.619109128	4.6515701665	4.6548665795	4.7667974135	4.8928661515	4.80222385	4.62631486	4.5736960455	11.4810110133333	11.8982593433333	11.021880045	11.247370025	10.1594949985	10.46025458	11.417202705	11.54830509	8.583910069	9.714998933	10.417857115	8.988102458	9.963405098	10.642477555	11.13914418	"fructose-bisphosphatase precursor  ; supported by cDNA: gi_14532619_gb_AY039934.1_"
"CYP71B5"	4.57549198025	4.39041746466667	4.30943817866667	4.4754650895	4.373397153	4.54525479	4.429286856	4.2929555085	4.2141186295	4.403928969	4.23216971566667	4.463238657	4.359200945	4.314769779	4.321030321	4.2185584635	4.3601210575	4.2893558235	4.362078429	4.2785462825	4.550520072	7.95583232733333	7.39651004766667	7.568180211	7.5299157895	7.9664573635	7.838128867	7.588359208	7.1737221505	6.41687058	5.922083809	8.536591562	9.7518783565	9.189364806	7.144886937	6.911161787	"CYTOCHROME P450 71B5  ; supported by cDNA: gi_3164131_dbj_D78601.1_D78601"
"ACA1.ATACA1.CAH1"	5.37982517825	5.30668353366667	5.81586796	5.464741298	5.4157422385	5.328434296	5.4547069285	5.3593358755	5.872767452	5.674300343	5.60089917933333	5.5097563145	5.266756261	5.0211527705	5.199325299	5.3795898645	5.220519553	5.102770031	5.218427707	5.521692855	5.693512834	8.370494782	8.959269385	8.5474903625	9.100471658	9.473398502	9.9360882625	8.688962155	9.2093653535	7.4928913145	7.8665138505	10.098196318	5.6926916205	6.998909046	9.9254302715	10.68386297	"carbonic anhydrase (CAH1)  ; supported by cDNA: gi_15450772_gb_AY054466.1_"
"AtSDR2.SDR2"	5.54814961525	6.87367837933333	5.487286348	7.901035002	5.262396735	6.092890057	5.1596301795	6.8917682675	5.3780988025	7.2770478695	5.24427638433333	9.008779697	7.6755780205	11.04755714	5.9909371975	5.6542283885	6.4746241065	4.7227489735	6.780655024	5.485300707	8.2945084455	4.4170095	4.42569733033333	4.196534235	4.3811719135	4.4721320065	4.2770038455	4.387132838	4.495556837	4.546245171	5.116232444	4.268311086	4.3631920065	4.4152233705	4.3331182295	4.355470183	"short-chain alcohol dehydrogenase-like protein short-chain alcohol dehydrogenase - Zea mays,PIR:A47542"
"ATSSL4.SSL4"	4.93819739875	5.24030112366667	5.10053213433333	4.992312647	4.8057959165	4.6801171675	4.680117772	4.827240305	4.6532592025	4.535709192	5.09804330233333	5.052839029	4.9564431785	5.265065884	5.146212272	4.893745015	5.0721778305	6.250376727	6.534201657	4.855644299	5.162093373	11.05281191	11.1366800666667	10.16229705	10.76192596	9.6556335945	10.34035335	10.854498955	10.857521635	8.007698512	9.5051442555	10.5247008	8.2584210535	9.007783329	11.10348522	11.364929625	"mucin-like protein hemomucin, Drosophila melanogaster, EMBL:DM42014;supported by full-length cDNA: Ceres:38547."
"LTI30.XERO2"	10.4014347025	10.5135289933333	11.4133598966667	11.154176515	11.200756905	11.258190335	11.157555105	11.438128835	11.145685925	11.69844929	11.1662920466667	10.847610415	10.896201425	10.497686075	11.268343115	9.7229172295	10.205045896	11.45273132	11.9285107	11.47235662	11.816218535	7.04738480233333	6.58006980433333	8.055209007	7.6012666095	5.9303572645	5.4630239045	4.3813620345	5.0018896375	6.317202419	6.2115986295	6.3585615225	5.7769520215	5.906830659	6.156546339	6.4325918385	"dehydrin Xero2  ; supported by cDNA: gi_15809983_gb_AY054260.1_"
"LTP5"	6.18638564675	6.176895101	7.42414409766667	7.119807338	6.592212193	5.532078056	6.061200786	5.97331222	5.997373918	5.8392491825	6.814827345	6.50516332	5.711021358	5.571553815	6.2729434205	8.087041965	7.2282948365	4.9353918815	5.083009079	6.892141653	7.070535751	12.7340303833333	12.7211194633333	13.513080115	13.692188045	13.787116635	13.97069651	13.011076175	13.058579645	12.59243328	12.427264285	13.988230495	14.31137938	14.19988986	12.86232353	12.879487575	"non-specific lipid transfer protein  ;supported by full-length cDNA: Ceres:8400."
