"brain__DBA.2J"	"colon__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"brain__CD1"	"colon__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"metadata"
"Slc16a14"	179	1	2386	0	7	203	0	1650	0	8	246	6	2498	12	7	"solute carrier family 16 (monocarboxylic acid transporters), member 14"
"2810459M11Rik"	244	484	12	4522	18	232	353	28	4369	24	292	331	8	3849	7	"RIKEN cDNA 2810459M11 gene"
"Epha4"	5496	57	143	5	425	5580	42	136	14	403	6488	67	108	12	366	"Eph receptor A4"
"Iqca"	15	0	2	0	321	35	3	1	0	335	57	0	2	0	177	"IQ motif containing with AAA domain"
"Acmsd"	7	1	4550	963	17	8	0	3992	1100	9	6	0	4253	821	6	"amino carboxymuconate semialdehyde decarboxylase"
"Lct"	183	26112	3	11	7	189	56276	6	0	4	241	16155	0	0	0	"lactase"
"Rgs1"	2	287	5	30	54	0	271	5	18	79	2	142	2	12	25	"regulator of G-protein signaling 1"
"Cfh"	355	241	2338	25970	2539	396	222	4060	22290	2766	160	119	1270	21799	2900	"complement component factor h"
"F13b"	0	13	2520	10879	0	0	0	2923	7777	0	0	6	2110	8269	0	"coagulation factor XIII, beta subunit"
"Tfcp2l1"	75	257	6606	308	966	108	390	5909	228	1010	95	85	4902	273	557	"transcription factor CP2-like 1"
"Nr5a2"	7	695	12	2334	14	1	492	17	2356	22	5	613	16	1230	21	"nuclear receptor subfamily 5, group A, member 2"
"Gpr37l1"	4162	18	33	1	7	3362	26	2	0	8	3299	42	24	6	8	"G protein-coupled receptor 37-like 1"
"Nfasc"	8396	61	5	36	8	8370	102	9	35	5	6866	177	8	41	4	"neurofascin"
"Lrrn2"	1779	14	9	2	38	1821	20	18	1	9	2544	27	8	3	100	"leucine rich repeat protein 2, neuronal"
"Syt2"	4517	16	13	0	17	827	34	6	7	6	1293	31	4	15	14	"synaptotagmin II"
"Dpt"	6	499	68	75	3045	4	621	122	108	1651	2	1056	75	96	4588	"dermatopontin"
"F5"	37	76	104	21620	163	320	69	240	22193	175	41	50	481	25323	276	"coagulation factor V"
"Sell"	0	164	28	59	909	1	196	28	36	1434	2	350	26	20	761	"selectin, lymphocyte"
"Kifap3"	9155	359	786	329	976	7022	311	791	220	836	4908	190	633	180	787	"kinesin-associated protein 3"
"Astn1"	8235	25	7	2	3	7913	35	34	2	1	8741	50	67	12	6	"astrotactin 1"
"Nphs2"	18	1	2434	0	61	4	2	1573	1	5	0	0	1256	3	119	"nephrosis 2, podocin"
"Mark1"	1951	78	71	29	129	1819	77	114	31	80	1880	88	140	12	138	"MAP/microtubule affinity regulating kinase 1"
"Mtarc1"	4	121	37	23377	15	3	71	18	15923	6	2	92	30	12875	1	"mitochondrial amidoxime reducing component 1"
"Mcm10"	35	700	261	11459	26	31	584	179	4756	25	61	665	290	9119	33	"minichromosome maintenance 10 replication initiation factor"
"Enkur"	45	10	6	1	285	62	43	7	1	335	44	19	24	3	194	"enkurin, TRPC channel interacting protein"
"Serpinc1"	6	76	69	94507	24	11	32	64	91673	24	15	40	150	65813	10	"serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1"
"Cubn"	68	426	16374	6	24	16	3195	10248	7	17	24	342	12170	3	19	"cubilin (intrinsic factor-cobalamin receptor)"
"Vim"	515	1514	809	413	15188	462	2354	1098	801	14029	434	3217	1146	513	20947	"vimentin"
"Kif5c"	27890	78	49	1	47	25178	76	52	7	25	26368	67	43	12	23	"kinesin family member 5C"
"Itga8"	134	342	639	227	7068	249	185	521	162	3429	270	110	333	168	6302	"integrin alpha 8"
"Stxbp1"	25243	311	325	95	1079	19527	381	424	144	766	21005	427	371	142	2067	"syntaxin binding protein 1"
"Lcn2"	8	39	46	95	2220	2	25	51	163	1825	3	42	83	70	1630	"lipocalin 2"
"Kcnj3"	3369	19	5	0	27	2566	15	2	0	74	2914	13	6	0	44	"potassium inwardly-rectifying channel, subfamily J, member 3"
"Dnm1"	27766	3645	59	5	298	23665	2253	61	8	131	27036	2446	61	29	719	"dynamin 1"
"Nr4a2"	1129	94	24	11	244	966	74	29	18	99	1577	58	12	12	118	"nuclear receptor subfamily 4, group A, member 2"
"Olfm1"	17709	158	362	135	686	19639	188	425	150	518	19950	231	412	186	971	"olfactomedin 1"
"Acvr1c"	426	69	1	7	14	553	55	33	2	1	435	71	12	3	2	"activin A receptor, type IC"
"Upp2"	635	30	838	22747	87	695	66	888	25348	107	622	98	1475	29703	88	"uridine phosphorylase 2"
"Kynu"	1	83	58	8210	58	1	100	70	6995	73	2	115	39	5009	58	"kynureninase"
"Hc"	8	1	22	51226	10948	10	11	1	43966	11011	11	2	24	14911	1539	"hemolytic complement"
"Gsn"	1508	1630	1304	216	55143	1197	3485	2855	650	29883	938	5447	2214	374	58976	"gelsolin"
"Ttll11"	592	10	15	6	15	711	0	8	9	36	669	6	24	17	32	"tubulin tyrosine ligase-like family, member 11"
"Fcna"	5	36	5	947	45	6	45	9	1050	20	3	13	8	531	14	"ficolin A"
"Neb"	94	35	59	1135	50	54	29	36	1064	56	76	33	20	980	55	"nebulin"
"Pax8"	11	165	2020	15	0	0	376	1979	2	0	0	163	2830	12	0	"paired box 8"
"Frzb"	287	36	2274	36	13	309	40	868	43	4	443	25	2666	20	9	"frizzled-related protein"
"Lrp2"	14	3	78863	1	2164	20	5	44196	57	1276	8	8	60144	44	1007	"low density lipoprotein receptor-related protein 2"
"Gatm"	2092	165	15049	729	263	1577	600	14821	229	51	1172	1486	19414	432	429	"glycine amidinotransferase (L-arginine:glycine amidinotransferase)"
"Fgf7"	29	70	10	8	405	26	32	12	0	305	12	29	2	3	645	"fibroblast growth factor 7"
"Tspan18"	192	189	279	85	2499	106	171	299	64	1403	188	256	349	75	4367	"tetraspanin 18"
"Slc28a2"	1	2143	2	7	33	2	2065	16	27	145	0	777	0	12	23	"solute carrier family 28 (sodium-coupled nucleoside transporter), member 2"
"Syt13"	4512	77	34	0	7	4220	108	57	0	5	4593	83	14	0	4	"synaptotagmin XIII"
"Chst1"	3413	72	76	0	554	3845	97	118	8	539	4511	131	110	0	594	"carbohydrate sulfotransferase 1"
"Frmd5"	1128	14	5	1	165	952	17	1	3	32	873	17	6	6	87	"FERM domain containing 5"
"Mdk"	295	101	1779	19	86	199	143	429	12	108	188	152	1672	12	143	"midkine"
"Map1a"	34197	242	74	8	247	24185	190	93	14	101	28437	365	91	35	509	"microtubule-associated protein 1 A"
"Snap25"	50575	89	0	0	2	39108	82	0	0	3	45934	146	4	44	3	"synaptosomal-associated protein 25"
"Ehd4"	385	1318	1357	138	8441	303	1477	1709	314	12208	246	1536	1276	313	16916	"EH-domain containing 4"
"Tyro3"	2592	266	118	39	539	4202	467	114	12	384	4214	227	112	17	346	"TYRO3 protein tyrosine kinase 3"
"Gfra4"	841	16	17	1	27	992	35	27	5	11	1071	46	18	3	44	"glial cell line derived neurotrophic factor family receptor alpha 4"
"Knl1"	17	305	32	18	30	9	122	14	3	25	5	144	24	9	32	"kinetochore scaffold 1"
"Rasgrp1"	11635	294	246	36	322	13222	214	169	58	470	14627	323	93	102	275	"RAS guanyl releasing protein 1"
"Mall"	7	5104	3	4	210	3	6638	22	1	148	3	2138	6	0	92	"mal, T cell differentiation protein-like"
"Bub1"	8	388	14	4	62	6	222	14	4	102	6	288	22	3	39	"BUB1, mitotic checkpoint serine/threonine kinase"
"Pcsk2"	7370	19	32	0	2	8079	57	2	0	0	8154	63	4	12	15	"proprotein convertase subtilisin/kexin type 2"
"Bfsp1"	14	176	6	4	58	30	341	13	3	68	64	85	6	3	19	"beaded filament structural protein 1, in lens-CP94"
"Cd93"	188	381	802	234	11343	86	381	869	224	8357	78	319	526	325	13092	"CD93 antigen"
"Napb"	17100	94	138	126	174	14299	65	111	135	102	16055	117	132	119	111	"N-ethylmaleimide sensitive fusion protein attachment protein beta"
"Sdcbp2"	35	2029	11	6	56	53	3144	15	12	57	61	1740	10	6	45	"syndecan binding protein (syntenin) 2"
"Snph"	5295	391	3	0	30	5932	422	6	1	10	8495	402	0	3	24	"syntaphilin"
"Ccm2l"	46	32	186	90	1019	50	71	200	170	785	47	77	170	90	1659	"cerebral cavernous malformation 2-like"
"Necab3"	821	11	8	5	38	1034	14	15	6	20	1387	15	10	12	44	"N-terminal EF-hand calcium binding protein 3"
"Stmn2"	8692	98	16	2	1298	6958	140	16	0	1284	7159	146	14	9	1309	"stathmin-like 2"
"Chmp4c"	62	5341	508	79	561	48	3895	441	63	511	52	2848	481	244	487	"charged multivesicular body protein 4C"
"Car13"	76	1680	120	32	108	22	709	71	7	52	37	733	55	6	65	"carbonic anhydrase 13"
"Car3"	13	5	881	205882	1729	12	299	3182	139437	410	6	94	1445	181596	353	"carbonic anhydrase 3"
"Stmn3"	8462	23	3	2	5	5807	74	1	1	4	8032	85	2	6	2	"stathmin-like 3"
"Ggt7"	1773	17	25	8	39	2126	39	28	22	43	2561	60	24	15	57	"gamma-glutamyltransferase 7"
"Epb41l1"	12567	861	1251	109	1135	10269	435	1715	104	618	11671	604	1664	90	995	"erythrocyte membrane protein band 4.1 like 1"
"Ccna2"	30	1421	76	32	86	56	832	51	28	85	90	979	103	38	111	"cyclin A2"
"Slc7a11"	887	57	10	1	149	1159	99	2	1	57	585	125	16	0	20	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11"
"Postn"	151	348	53	329	6481	43	455	174	279	6043	55	771	103	273	8995	"periostin, osteoblast specific factor"
"Dclk1"	17459	264	6	0	161	19146	350	15	2	145	22249	325	6	17	117	"doublecortin-like kinase 1"
"Nbea"	8416	438	401	75	975	7456	265	487	171	1082	7008	246	369	78	685	"neurobeachin"
"Pfn2"	12409	95	1563	358	483	8046	82	1247	84	416	9182	127	1388	319	243	"profilin 2"
"Mme"	389	29172	3126	1684	3856	207	21519	2375	787	2256	197	7966	1217	131	2986	"membrane metallo endopeptidase"
"Kcnab1"	1876	42	41	21	41	2199	25	47	26	25	2431	52	22	41	20	"potassium voltage-gated channel, shaker-related subfamily, beta member 1"
"Veph1"	6	1	2009	63	271	4	2	1325	6	92	3	0	1010	20	151	"ventricular zone expressed PH domain-containing 1"
"Serpini1"	7370	68	75	17	44	5431	92	101	5	68	6592	198	101	9	37	"serine (or cysteine) peptidase inhibitor, clade I, member 1"
"Cd2"	1	48	9	24	365	0	156	15	19	612	0	206	6	6	467	"CD2 antigen"
"Hmgcs2"	171	2343	124	102379	786	118	709	623	93819	440	124	3880	164	100211	791	"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2"
"Sypl2"	60	143	2178	0	0	54	225	2224	4	3	73	125	2833	3	6	"synaptophysin-like 2"
"Slc16a4"	149	66	3409	108	64	111	46	2574	50	45	93	50	1674	84	48	"solute carrier family 16 (monocarboxylic acid transporters), member 4"
"Chrnb2"	1664	99	116	127	40	1602	74	133	140	45	1675	90	136	165	38	"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)"
"Gask1b"	175	167	133	29	1663	78	129	121	18	1438	139	133	73	20	1277	"golgi associated kinase 1B"
"Cyp2u1"	260	305	227	5084	45	245	613	230	4386	60	312	246	221	2802	77	"cytochrome P450, family 2, subfamily u, polypeptide 1"
"Fga"	1	1	423	225702	1	0	0	348	185360	10	6	0	377	213593	0	"fibrinogen alpha chain"
"Tdo2"	56	39	18	83244	101	30	22	12	63642	43	37	35	24	48892	76	"tryptophan 2,3-dioxygenase"
"Dkk2"	21	40	755	2	44	7	76	682	2	17	18	81	686	3	36	"dickkopf WNT signaling pathway inhibitor 2"
"Kcnq5"	1770	25	3	8	204	1787	14	3	11	203	2567	23	6	3	259	"potassium voltage-gated channel, subfamily Q, member 5"
"Iqgap3"	7	657	26	4	55	18	356	28	28	33	11	508	77	20	101	"IQ motif containing GTPase activating protein 3"
"Cd1d1"	27	43	18	3689	151	18	57	53	6160	163	8	79	12	3678	88	"CD1d1 antigen"
"Dclk2"	1826	96	285	34	140	2079	96	117	60	122	1982	119	83	55	206	"doublecortin-like kinase 2"
"Celf3"	1615	95	22	7	37	3450	125	80	25	60	3664	160	118	35	80	"CUGBP, Elav-like family member 3"
"Bdh2"	27	58	4027	635	24	31	46	4778	647	20	28	83	5588	531	17	"3-hydroxybutyrate dehydrogenase, type 2"
"Faxc"	1609	66	8	2	48	1560	14	7	0	17	1424	40	0	3	36	"failed axon connections homolog"
"Clca1"	1	16578	0	2	107	1	23829	1	1	47	0	16051	4	0	5	"chloride channel accessory 1"
"Epha7"	1862	62	52	87	168	2230	59	87	50	181	2266	35	75	52	76	"Eph receptor A7"
"Cfap206"	44	1	6	0	446	69	0	4	2	446	37	2	32	0	173	"cilia and flagella associated protein 206"
"Stra6l"	2	471	1161	9556	46	2	359	540	9578	1	5	263	351	4150	20	"STRA6-like"
"Coro2a"	818	9439	463	30	534	594	5860	330	43	335	848	6299	503	58	881	"coronin, actin binding protein 2A"
"Nr4a3"	792	61	12	1	113	973	26	12	4	117	1543	52	8	9	54	"nuclear receptor subfamily 4, group A, member 3"
"Brinp1"	4198	3	1	0	46	4062	0	1	1	27	4768	2	4	15	74	"bone morphogenic protein/retinoic acid inducible neural specific 1"
"Ambp"	0	85	28	99163	0	0	148	43	85500	1	0	190	18	80512	0	"alpha 1 microglobulin/bikunin precursor"
"Kif12"	0	67	3181	18	0	1	80	3451	37	0	0	104	4721	23	0	"kinesin family member 12"
"Ptgr1"	36	5990	381	143	770	31	3457	367	96	742	20	5488	424	133	535	"prostaglandin reductase 1"
"1110017D15Rik"	52	1	5	0	317	40	2	5	0	190	31	6	26	0	242	"RIKEN cDNA 1110017D15 gene"
"Cntfr"	1029	10	95	53	61	773	12	94	60	32	863	50	67	64	165	"ciliary neurotrophic factor receptor"
"Car9"	6	2127	103	2	39	13	1430	249	10	28	9	1211	160	6	32	"carbonic anhydrase 9"
"Tpm2"	255	3168	261	22	680	140	6157	482	211	775	130	8095	477	29	1760	"tropomyosin 2, beta"
"Bnc2"	37	17	905	0	61	10	12	451	0	23	3	13	491	0	63	"basonuclin 2"
"Sh3gl2"	7093	1079	1088	1	157	6783	758	797	3	111	6661	598	714	9	58	"SH3-domain GRB2-like 2"
"Dnajc6"	8982	33	1405	4	32	7543	25	1009	2	56	8455	38	1008	3	50	"DnaJ heat shock protein family (Hsp40) member C6"
"B4galt2"	780	36	71	13	196	1275	65	57	13	143	1216	77	49	12	229	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2"
"Elavl4"	2788	31	0	0	6	1899	32	0	0	5	2523	92	2	3	14	"ELAV like RNA binding protein 4"
"Angptl3"	12	8	49	24466	26	16	12	136	18602	20	20	25	67	16463	15	"angiopoietin-like 3"
"Pdpn"	202	55	103	6	2751	181	191	114	12	2385	211	104	136	0	3675	"podoplanin"
"Scp2"	831	2869	2643	129385	986	931	7774	8325	112754	2062	604	2219	4036	121251	678	"sterol carrier protein 2, liver"
"Lrp8"	1737	141	222	0	52	2175	48	51	4	32	2508	94	69	6	36	"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
"Kif2c"	7	279	8	5	25	5	244	18	10	36	11	273	61	6	25	"kinesin family member 2C"
"Plk3"	250	630	249	4579	192	239	361	245	1137	186	277	708	337	1578	300	"polo like kinase 3"
"Cyp4a31"	0	9	3611	38	0	0	0	6488	85	0	0	10	3015	41	0	"cytochrome P450, family 4, subfamily a, polypeptide 31"
"Cyp4b1"	8	905	81039	437	7950	12	1853	92906	603	10653	6	1161	76333	461	11630	"cytochrome P450, family 4, subfamily b, polypeptide 1"
"Pdzk1ip1"	11	20	8355	90	517	6	96	10362	73	591	5	71	7227	64	282	"PDZK1 interacting protein 1"
"Cfap57"	34	7	1	0	367	56	2	0	0	254	31	15	34	0	160	"cilia and flagella associated protein 57"
"Alpl"	208	32	7863	752	282	133	57	7193	504	56	113	125	10687	1584	1070	"alkaline phosphatase, liver/bone/kidney"
"Sema3c"	795	174	970	49	11591	431	113	1193	20	8213	432	156	1219	20	6453	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
"Hpca"	6793	62	7	0	17	9525	52	6	5	0	12827	63	10	12	4	"hippocalcin"
"Tmem54"	1	3630	49	7	57	1	4459	33	6	27	3	3428	37	12	32	"transmembrane protein 54"
"Ncdn"	17780	459	535	243	404	17321	564	451	594	359	22632	873	854	824	762	"neurochondrin"
"Trim63"	4	42	355	0	8	1	31	466	1	29	5	6	457	3	25	"tripartite motif-containing 63"
"Map3k6"	26	49	83	10	205	58	71	119	47	348	43	117	142	49	1178	"mitogen-activated protein kinase kinase kinase 6"
"Cdca8"	14	550	42	35	23	23	543	45	32	42	26	650	55	58	52	"cell division cycle associated 8"
"Smpdl3b"	25	3163	56	28	174	73	3172	25	13	105	64	3038	101	35	128	"sphingomyelin phosphodiesterase, acid-like 3B"
"Padi2"	1942	97	129	10	207	691	287	36	16	190	376	131	30	3	50	"peptidyl arginine deiminase, type II"
"Kcnab2"	7975	163	65	22	257	6573	282	118	38	266	8035	442	55	29	367	"potassium voltage-gated channel, shaker-related subfamily, beta member 2"
"Hes2"	0	464	14	0	64	0	771	19	0	79	0	433	35	0	54	"hes family bHLH transcription factor 2"
"Espn"	102	2833	981	7	117	102	5004	610	18	83	139	3707	1083	12	192	"espin"
"Masp2"	37	5	14	5470	16	15	0	34	8061	1	12	0	4	5331	2	"mannan-binding lectin serine peptidase 2"
"Angptl7"	25	31	20443	39	123	6	2	450	29	15	29	54	15029	41	192	"angiopoietin-like 7"
"Rbp7"	2	215	3	1	118	3	445	6	1	32	3	331	28	3	88	"retinol binding protein 7, cellular"
"Fbxo44"	1379	37	200	6	36	1699	166	357	108	75	1559	31	179	6	40	"F-box protein 44"
"Mxra8"	109	403	451	227	5593	95	621	479	247	3438	95	638	515	125	6762	"matrix-remodelling associated 8"
"Bst1"	3	3475	232	12	325	3	7024	327	8	340	2	2894	217	17	364	"bone marrow stromal cell antigen 1"
"Kcnip4"	1742	4	18	16	79	1162	3	8	7	60	1251	0	2	15	32	"Kv channel interacting protein 4"
"Ablim2"	2196	68	99	121	141	3362	103	96	124	103	2686	98	132	128	235	"actin-binding LIM protein 2"
"Hgfac"	1	285	64	5829	56	5	743	225	10188	45	2	704	47	7033	69	"hepatocyte growth factor activator"
"Pcdh7"	3370	255	444	23	261	2950	179	260	32	163	3026	194	386	15	240	"protocadherin 7"
"Ppp2r2c"	10138	29	5	1	285	11033	57	7	1	103	12420	25	18	9	300	"protein phosphatase 2, regulatory subunit B, gamma"
"Crmp1"	3469	30	12	1	21	4020	60	16	1	17	4717	98	16	12	18	"collapsin response mediator protein 1"
"Evc"	221	102	7063	108	413	303	139	5796	69	331	310	204	8901	357	433	"EvC ciliary complex subunit 1"
"Nsg1"	7182	64	52	42	787	5853	76	64	30	1062	5160	104	71	26	1094	"neuron specific gene family member 1"
"Plb1"	37	19	2	0	291	32	11	3	4	286	31	25	16	3	259	"phospholipase B1"
"Slc30a3"	929	3	1	42	2	2242	0	1	14	0	2288	4	6	32	0	"solute carrier family 30 (zinc transporter), member 3"
"Spata18"	7	1	1	0	533	32	0	0	0	274	17	0	45	0	279	"spermatogenesis associated 18"
"Dpysl5"	1082	47	7	1	72	718	68	8	0	122	879	71	24	3	451	"dihydropyrimidinase-like 5"
"Pgm2"	221	4760	251	219	635	179	2027	204	115	390	238	2386	270	215	536	"phosphoglucomutase 2"
"Slc34a2"	2	8	118	4	45365	0	387	75	17	34983	2	4	160	9	38628	"solute carrier family 34 (sodium phosphate), member 2"
"Gabra4"	2072	2	17	0	25	2533	43	21	0	1	2352	63	4	3	17	"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4"
"Uchl1"	7452	85	18	1	29	7926	268	76	0	62	7460	188	18	6	14	"ubiquitin carboxy-terminal hydrolase L1"
"Sult1b1"	0	10901	131	1898	5	0	12936	114	1082	0	0	6770	91	1238	0	"sulfotransferase family 1B, member 1"
"Gpat3"	134	3736	281	725	128	62	3941	320	95	164	69	1977	241	586	124	"glycerol-3-phosphate acyltransferase 3"
"Plac8"	2	30743	126	155	1086	0	48843	203	157	846	2	30707	282	102	439	"placenta-specific 8"
"Prkg2"	381	3662	11	6	664	424	4186	37	5	532	325	2209	10	26	643	"protein kinase, cGMP-dependent, type II"
"Asphd2"	1336	33	1	0	3	1741	46	2	1	0	2103	56	0	3	3	"aspartate beta-hydroxylase domain containing 2"
"Nos1"	2216	73	56	4	2	1655	63	40	3	1	2179	90	43	0	6	"nitric oxide synthase 1, neuronal"
"Alb"	2	20	75	2909592	8	1	57	180	2629665	15	2	38	85	2795829	20	"albumin"
"Afm"	3	25	670	11689	2	0	12	679	9634	0	0	58	1100	12199	0	"afamin"
"Areg"	0	480	0	0	52	1	277	1	0	70	2	323	4	0	31	"amphiregulin"
"Cxcl1"	1	3	53	483	50	0	6	44	331	15	3	8	39	357	13	"chemokine (C-X-C motif) ligand 1"
"Rimbp2"	2733	134	1	1	8	4004	74	2	0	4	4667	63	0	3	5	"RIMS binding protein 2"
"Mmp17"	2161	65	49	16	42	4090	105	72	17	51	4089	117	108	3	92	"matrix metallopeptidase 17"
"Hpd"	0	120	3988	86462	0	1	284	1081	115139	0	0	108	5389	83760	2	"4-hydroxyphenylpyruvic acid dioxygenase"
"Tmem116"	60	35	1649	12	290	71	54	1464	17	218	70	81	1589	15	271	"transmembrane protein 116"
"Anxa3"	117	127	200	103	4489	148	321	320	124	5466	86	215	177	81	3954	"annexin A3"
"Pxmp2"	81	78	813	3654	160	51	151	743	4344	180	67	96	771	3048	124	"peroxisomal membrane protein 2"
"Cit"	4230	429	379	30	199	4665	362	423	88	150	3727	463	515	52	312	"citron"
"Ccr9"	7	330	18	35	70	8	462	14	21	71	9	375	16	15	39	"chemokine (C-C motif) receptor 9"
"Cabp1"	1443	6	27	1	74	2108	49	45	5	54	2104	63	39	0	103	"calcium binding protein 1"
"Rasal1"	1065	38	20	0	7	1782	23	87	3	14	2511	58	47	9	15	"RAS protein activator like 1 (GAP1 like)"
"Rph3a"	9426	18	54	0	1	7044	18	41	0	0	8134	17	8	12	0	"rabphilin 3A"
"Tfpi2"	2	33	628	2790	41	1	35	262	1540	43	0	31	335	1366	36	"tissue factor pathway inhibitor 2"
"Eln"	112	157	211	30	3058	120	228	344	131	1453	203	390	276	55	3093	"elastin"
"Tfr2"	114	11	2	15532	7	197	8	12	23099	4	287	10	14	21553	5	"transferrin receptor 2"
"Cyp3a13"	62	15073	10	1638	41	33	38003	12	4953	124	9	9249	10	1598	37	"cytochrome P450, family 3, subfamily a, polypeptide 13"
"Ccdc136"	2550	55	75	2	105	2605	43	53	2	79	2049	94	235	3	87	"coiled-coil domain containing 136"
"Adcyap1r1"	5545	49	58	34	502	4483	96	110	68	121	4804	100	41	29	167	"adenylate cyclase activating polypeptide 1 receptor 1"
"Aoc1"	4	11093	209	5	109	2	16954	117	3	117	0	7678	444	6	22	"amine oxidase, copper-containing 1"
"Npy"	464	37	27	0	0	862	40	49	0	0	1031	73	12	0	0	"neuropeptide Y"
"Ptn"	3847	46	68	4	27	4780	69	87	0	29	4462	142	43	0	12	"pleiotrophin"
"Ephb6"	1401	27	28	10	135	1513	28	41	14	99	2344	46	53	32	174	"Eph receptor B6"
"Ccdc184"	611	3	3	0	36	325	5	1	0	80	351	13	4	0	16	"coiled-coil domain containing 184"
"Add2"	7526	64	20	1	8	8090	14	24	1	8	8996	58	55	3	42	"adducin 2 (beta)"
"Reg3g"	0	38742	1	18	1253	0	8455	0	0	435	0	5501	0	0	55	"regenerating islet-derived 3 gamma"
"Chl1"	6138	82	30	0	14	5047	66	16	0	4	5564	85	41	3	15	"cell adhesion molecule L1-like"
"Aldh1l1"	1246	2747	14462	50276	407	1160	4917	14456	90047	419	1140	3248	20288	60807	360	"aldehyde dehydrogenase 1 family, member L1"
"Slc6a13"	170	7	1422	9041	7	150	3	3734	10846	4	89	6	3472	9116	5	"solute carrier family 6 (neurotransmitter transporter, GABA), member 13"
"Slc6a12"	54	11	65	2774	9	33	9	85	4637	0	18	52	75	3272	1	"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12"
"Mfap5"	3	7	9	0	687	2	35	35	1	509	9	58	20	0	646	"microfibrillar associated protein 5"
"Lrrc23"	33	7	9	0	924	125	9	10	0	831	81	17	30	0	649	"leucine rich repeat containing 23"
"Bcl2l14"	0	1192	26	2	116	1	1341	32	20	124	0	990	41	12	59	"BCL2-like 14 (apoptosis facilitator)"
"Art4"	3	3	58	76	616	2	26	121	68	496	0	8	73	64	750	"ADP-ribosyltransferase 4"
"Mgp"	191	223	957	62	11262	192	301	1106	46	10662	234	644	1219	46	11531	"matrix Gla protein"
"Gys2"	6	0	221	9154	0	3	0	656	10755	3	3	0	586	14780	0	"glycogen synthase 2"
"Atp2b2"	14856	17	46	21	317	12149	18	61	23	166	13618	40	45	55	204	"ATPase, Ca++ transporting, plasma membrane 2"
"Timp4"	955	10	7	0	145	761	6	32	0	61	730	35	53	0	89	"tissue inhibitor of metalloproteinase 4"
"Vamp1"	8767	452	606	229	614	3362	450	598	363	489	2964	504	523	368	473	"vesicle-associated membrane protein 1"
"Tspan11"	63	8	3	0	896	115	11	12	0	618	147	8	14	0	823	"tetraspanin 11"
"Tead4"	17	22	55	10	397	8	18	80	16	300	12	17	47	12	769	"TEA domain family member 4"
"Pzp"	6	31	10735	209376	10	4	34	3132	231224	9	9	13	3273	265502	6	"PZP, alpha-2-macroglobulin like"
"Clec2h"	3	14636	666	1408	0	0	21383	1251	925	0	0	11441	268	52	0	"C-type lectin domain family 2, member h"
"Slc8a2"	4756	62	6	1	11	5919	42	12	2	5	7081	113	20	6	37	"solute carrier family 8 (sodium/calcium exchanger), member 2"
"Nova2"	1454	17	72	6	241	1496	17	92	32	208	1866	35	75	49	639	"NOVA alternative splicing regulator 2"
"Ttyh1"	8731	94	22	83	16	8166	214	72	43	22	9796	375	51	70	29	"tweety family member 1"
"Psd3"	13345	376	295	2324	966	14083	234	166	1371	849	13539	208	150	1534	685	"pleckstrin and Sec7 domain containing 3"
"Csrp3"	0	1	0	943	119	0	0	1	738	311	0	0	0	696	234	"cysteine and glycine-rich protein 3"
"Gas2"	334	187	9626	2324	54	182	82	8669	1354	82	214	121	9672	1343	72	"growth arrest specific 2"
"2200002D01Rik"	7	3999	129	344	126	3	4892	88	310	73	5	5780	120	345	205	"RIKEN cDNA 2200002D01 gene"
"Lrfn1"	705	12	37	10	36	723	11	13	12	15	935	48	22	6	56	"leucine rich repeat and fibronectin type III domain containing 1"
"Tmc5"	6	2801	24	6	76	3	3251	21	0	68	2	1963	49	766	26	"transmembrane channel-like gene family 5"
"Sez6l2"	7861	48	49	6	11	5699	76	24	23	20	6236	104	24	20	22	"seizure related 6 homolog like 2"
"Sult1a1"	124	70	268	2324	727	108	182	282	6316	858	118	190	211	5102	1108	"sulfotransferase family 1A, phenol-preferring, member 1"
"Nupr1"	66	196	210	29	979	98	8383	517	23	1049	58	5130	294	6	776	"nuclear protein transcription regulator 1"
"Pgm2l1"	10246	341	124	254	606	9948	327	153	114	496	10776	356	71	180	579	"phosphoglucomutase 2-like 1"
"Lyve1"	18	212	6	203	4840	9	274	16	312	2634	17	192	6	81	4404	"lymphatic vessel endothelial hyaluronan receptor 1"
"Pycard"	68	3490	137	51	271	50	3289	147	48	217	60	3094	158	32	152	"PYD and CARD domain containing"
"Prss8"	5	620	9272	429	1621	4	559	7341	233	1175	23	936	10062	568	1348	"protease, serine 8 (prostasin)"
"Stx1b"	14497	51	12	177	77	10897	43	36	322	24	13037	60	20	102	81	"syntaxin 1B"
